	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
878	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Manufacturing	2001	111080.0
879	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Wholesale trade	2001	22571.0
880	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Retail trade	2001	36326.0
881	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Transportation and warehousing	2001	
882	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Information	2001	6369.0
883	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Real estate and rental and leasing	2001	61858.0
884	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Professional and business services	2001	35581.0
885	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Management of companies and enterprises	2001	11655.0
886	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Administrative and support and waste management and remediation services	2001	16306.0
887	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Educational services	2001	
888	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Health care and social assistance	2001	
889	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Arts, entertainment, and recreation	2001	806.0
890	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Accommodation and food services	2001	10544.0
891	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Other services (except government and government enterprises)	2001	12903.0
892	37091	FIPS_37091	Hertford County	Northeast	Region Q	Government and government enterprises	2001	76415.0
893	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Agriculture, forestry, fishing and hunting	2001	23430.0
894	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Mining, quarrying, and oil and gas extraction	2001	55.0
895	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Utilities	2001	261.0
896	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Construction	2001	19849.0
897	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Manufacturing	2001	300885.0
898	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Wholesale trade	2001	9184.0
899	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Retail trade	2001	11718.0
900	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Transportation and warehousing	2001	
901	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Information	2001	8329.0
902	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Real estate and rental and leasing	2001	58296.0
903	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Professional and business services	2001	16843.0
904	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Management of companies and enterprises	2001	
905	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Administrative and support and waste management and remediation services	2001	3128.0
906	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Educational services	2001	
907	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Health care and social assistance	2001	
908	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Arts, entertainment, and recreation	2001	
909	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Accommodation and food services	2001	
910	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Other services (except government and government enterprises)	2001	15357.0
911	37093	FIPS_37093	Hoke County	South Central	Lumber River	Government and government enterprises	2001	95921.0
912	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Agriculture, forestry, fishing and hunting	2001	16907.0
913	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Mining, quarrying, and oil and gas extraction	2001	0.0
914	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Utilities	2001	758.0
915	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Construction	2001	5910.0
916	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Manufacturing	2001	12439.0
917	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Wholesale trade	2001	4846.0
918	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Retail trade	2001	5327.0
919	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Transportation and warehousing	2001	
920	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Information	2001	
921	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Real estate and rental and leasing	2001	
922	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Professional and business services	2001	13278.0
923	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Management of companies and enterprises	2001	
924	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Administrative and support and waste management and remediation services	2001	376.0
925	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Educational services	2001	297.0
926	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Health care and social assistance	2001	2566.0
927	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Arts, entertainment, and recreation	2001	852.0
928	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Accommodation and food services	2001	9410.0
929	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Other services (except government and government enterprises)	2001	
930	37095	FIPS_37095	Hyde County	Northeast	Northeastern	Government and government enterprises	2001	35284.0
931	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2001	71896.0
932	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2001	2811.0
933	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Utilities	2001	10059.0
934	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Construction	2001	242160.0
935	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Manufacturing	2001	1161791.0
936	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Wholesale trade	2001	276912.0
937	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Retail trade	2001	298529.0
938	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Transportation and warehousing	2001	82256.0
