GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37037"""	Chatham, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	5966	5168	6357	7004	7716	7371	8077	8399	8796	6905	6853	7341	6892	7158	7594	8737	9122	9352
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	(D)	(D)	544	494	(D)	578	576	639	552	504	532	517	660	791	1006	655	399	1032
" ""37041"""	Chowan, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	(D)	(D)	315	430	429	417	514	538	533	773	401	390	463	495	414	525	528	532
" ""37043"""	Clay, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	404	(D)	580	824	858	(D)	(D)	(D)	204	(D)	(D)	(D)	0	(D)	(D)	(D)	(D)	(D)
" ""37045"""	Cleveland, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	5421	4916	4939	5400	5432	5179	4566	3765	3454	3645	3473	3936	2755	2744	2908	6780	6708	7264
" ""37047"""	Columbus, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	688	(D)	659	710	612	491	446	498	733	602	(D)	(D)	274	281	309	332	789	893
" ""37049"""	Craven, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	7039	7544	6947	7169	7717	8066	8902	8920	9896	9546	9410	9058	8984	10101	9786	(D)	9151	8898
" ""37051"""	Cumberland, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	20823	24313	23937	17515	17492	18829	20337	20559	22103	19745	19225	22094	22051	24608	23901	24973	25798	29196
" ""37053"""	Currituck, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	3519	6005	7650	7053	6916	7323	6527	6213	5904	6107	5603	5841	5899	6202	5846	9252	11584	11630
" ""37055"""	Dare, NC	5.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	8232	10090	10601	11340	11217	11012	12364	12455	11797	11063	11370	10647	10129	10795	11026	12590	12243	13900
