Series ID	Region Name	Region Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
NCBUNC1LFN	Buncombe County, NC	37021	91530.33333333333	94656.16666666667	96743.08333333333	98309.33333333333	99270.75	99368.08333333333	103099.41666666667	105899.41666666667	105496.41666666667	105178.41666666667	108031.08333333333	109606.5	110380.41666666667	113490.66666666667	113412.83333333333	115125.16666666667	118775.16666666667	120202.66666666667	122277.16666666667	121934.5	123679.91666666667	124660.33333333333	126436.83333333333	127657.0	127700.41666666667	130462.58333333333	134376.91666666666	136667.08333333334	139318.66666666666	145183.16666666666
NCBURK0LFN	Burke County, NC	37023	41929.333333333336	42217.666666666664	43224.583333333336	43145.166666666664	43499.416666666664	44202.75	44699.5	44782.5	43938.333333333336	44007.0	46421.0	45586.083333333336	43575.583333333336	43046.166666666664	42230.916666666664	41432.416666666664	41542.333333333336	40069.5	40287.416666666664	39669.583333333336	41686.666666666664	41195.333333333336	40691.916666666664	40101.333333333336	39355.583333333336	39342.25	39859.25	40516.666666666664	40578.583333333336	41148.333333333336
NCCABA5LFN	Cabarrus County, NC	37025	55386.583333333336	55623.166666666664	57157.0	57758.416666666664	59049.916666666664	60836.666666666664	63752.0	65379.75	66458.5	69468.83333333333	72210.25	74979.5	75088.5	77742.33333333333	76770.16666666667	77153.16666666667	80712.75	82663.16666666667	84918.58333333333	84851.75	89048.83333333333	89829.08333333333	91360.83333333333	92217.41666666667	94294.16666666667	97650.83333333333	101188.0	104744.58333333333	106601.33333333333	109978.83333333333
NCCALD0LFN	Caldwell County, NC	37027	40308.5	40931.0	41054.75	41003.416666666664	40980.333333333336	41526.0	42232.5	42968.166666666664	41282.833333333336	41377.583333333336	42559.416666666664	42284.666666666664	40860.666666666664	40599.416666666664	39832.5	39683.083333333336	39816.833333333336	38426.666666666664	38150.916666666664	37966.5	38212.083333333336	37342.75	36895.583333333336	36369.083333333336	35484.833333333336	35476.083333333336	35900.416666666664	36531.25	36594.833333333336	37153.5
NCCAMD9LFN	Camden County, NC	37029	2821.9166666666665	2754.6666666666665	2840.75	2847.5	2911.6666666666665	3042.1666666666665	3157.4166666666665	3206.25	3224.5	3310.5	3325.25	3409.3333333333335	3531.75	3882.0833333333335	4202.666666666667	4373.583333333333	4519.75	4620.166666666667	4541.083333333333	4465.416666666667	4593.916666666667	4590.833333333333	4520.583333333333	4522.0	4550.833333333333	4614.833333333333	4658.416666666667	4730.083333333333	4650.333333333333	4664.166666666667
NCCART1LFN	Carteret County, NC	37031	25637.916666666668	26386.583333333332	27324.083333333332	27363.583333333332	27400.166666666668	28317.833333333332	29293.166666666668	30401.166666666668	30200.166666666668	30203.0	29693.666666666668	29773.583333333332	30009.166666666668	31305.916666666668	31731.25	32249.833333333332	32918.333333333336	33229.25	32742.583333333332	32623.916666666668	31379.0	30965.083333333332	31501.5	31177.75	31073.0	31347.75	31575.333333333332	31945.666666666668	31755.083333333332	32115.416666666668
NCCASW3LFN	Caswell County, NC	37033	10202.0	11075.333333333332	11163.666666666668	10945.666666666668	11329.916666666668	11783.5	12271.5	12889.75	13024.75	13457.5	10917.083333333332	10890.833333333332	10906.833333333332	10871.416666666668	10687.083333333334	10582.833333333334	10714.75	10706.0	10746.916666666666	10860.75	10068.083333333334	10108.75	9960.916666666666	9857.75	9651.25	9628.25	9691.25	9772.083333333334	9819.666666666666	9932.25
NCCATA5LFN	Catawba County, NC	37035	71445.66666666667	72614.91666666667	73933.5	73246.41666666667	74161.08333333333	75241.08333333333	76876.0	76949.5	76107.91666666667	76787.33333333333	80518.83333333333	80956.41666666667	78761.83333333333	77739.91666666667	77185.08333333333	76866.66666666667	77385.58333333333	76407.33333333333	76720.25	77039.41666666667	77897.91666666667	76812.16666666667	76572.33333333333	76000.33333333333	74635.0	75182.16666666667	76891.5	78688.66666666667	78801.75	79828.66666666667
NCCHAT7LFN	Chatham County, NC	37037	22069.333333333332	22816.25	22993.833333333332	23018.25	23495.416666666668	24116.833333333332	25546.166666666668	26483.666666666668	26854.333333333332	27412.416666666668	26909.666666666668	28367.75	28974.75	29502.333333333332	29986.916666666668	30757.75	32467.75	32497.5	33766.583333333336	34332.416666666664	30660.833333333332	31119.75	31616.833333333332	31556.083333333332	32234.0	33399.833333333336	34527.5	34182.083333333336	34637.0	35358.416666666664
NCCHER9LFN	Cherokee County, NC	37039	9502.5	9256.416666666666	9203.833333333334	9304.583333333334	9462.666666666666	9844.916666666666	10114.75	10194.833333333334	11530.25	11984.083333333332	11499.333333333332	10275.0	9978.083333333334	9842.083333333334	9903.083333333334	10421.75	10546.25	10231.083333333334	9976.333333333334	9971.916666666666	11653.833333333332	11594.166666666668	11422.25	11263.25	11101.5	11124.583333333332	11145.833333333332	11179.0	11235.0	11336.416666666668
