GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37119"""	Mecklenburg, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	2255847	2192398	2184886	2287431	2506664	2854793	3300045	3522931	3364910	3489843	3847133	4106529	4430408	4893174	5424742	5798657	6151540	6507762
" ""37121"""	Mitchell, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	2034	2393	2595	2558	2412	2565	2270	2621	2673	2708	2776	2796	3684	4095	4310
" ""37123"""	Montgomery, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	4479	4749	5140	5868	6039	6185	5716	12464	8915	6660	3710	3226	3321	3086	3450	3730	4001	4518
" ""37125"""	Moore, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	41261	42717	51280	56980	69287	75122	75588	89392	91736	84513	91819	100847	(D)	(D)	(D)	(D)	(D)	105084
" ""37127"""	Nash, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	39499	37942	34035	34460	41804	57086	61813	64930	64763	62551	64123	75558	73328	79472	80557	80107	79706	75848
" ""37129"""	New Hanover, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	202059	225249	248182	306715	364115	419828	460329	496636	465239	458795	508028	522849	536854	570501	620043	664632	849196	774639
" ""37131"""	Northampton, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	2965	2919	2646	2624	2534	(D)	(D)	(D)	2916	2818	3373	3500	3347	3450	3575	3783	(D)	(D)
" ""37133"""	Onslow, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	30294	35511	40749	46500	48839	53836	62900	72278	86112	98707	106329	97962	89172	94005	94313	92047	102983	105625
" ""37135"""	Orange, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	158543	165671	187788	182315	195855	223791	223324	214529	209859	209301	213287	244751	252421	264420	297922	336056	357761	387622
" ""37137"""	Pamlico, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	633	(D)	(D)	(D)	(D)	3685	4077	5006	5017	4752	4463	3853	3853	3337	2689	1969	2278
" ""37139"""	Pasquotank, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	17139	19583	22930	28830	35398	39408	33501	39077	39667	39939	39862	40103	44334	(D)	(D)	43415
" ""37141"""	Pender, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	6283	(D)	(D)	(D)	(D)	(D)	11911	12390	11459	12236	12057	(D)	(D)	(D)	(D)	(D)	(D)	28100
" ""37143"""	Perquimans, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	1349	1474	1336	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1917	2158	2257	1776	2539	3033
" ""37145"""	Person, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	4275	3856	(D)	4539	4699	5415	5715	6411	5793	6544	6722	9118	11470	10904	12346	14807	14534	15791
" ""37147"""	Pitt, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	65615	67531	69849	79736	85755	92422	87615	83955	89139	99074	105621	114509	128484	129961	136666	152641	183433	163086
" ""37149"""	Polk, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	5275	5302	5441	5001	4709	6552	7504	6578	6678	6091	6776	6855	(D)	(D)	7543	8784	10147	9060
" ""37151"""	Randolph, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	25170	25648	27213	28925	27691	27219	26716	(D)	(D)	(D)	28802	29022	29988	29984	31880	33764	35440	42885
" ""37153"""	Richmond, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	6825	6620	(D)	(D)	(D)	(D)	14455	21034	20967	15532	11588	10387	9285	11831
" ""37155"""	Robeson, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	17553	17295	16399	17587	17777	18171	18659	19861	20532	19941	22016	21795	22675	22005	23304	23951	23702	25046
" ""37157"""	Rockingham, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	13449	15403	15596	15683	(D)	(D)	(D)	19412	(D)	84833	(D)	(D)	(D)	(D)	(D)	20255	20941	19661
" ""37159"""	Rowan, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	43985	38984	40238	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	62100	63591	68102	69905	(D)	(D)	73278
" ""37161"""	Rutherford, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	7553	12426	10060	11128	36414	9780	22939	27548	36884	54811	49904	12269	11506	12797	14012	16009	17631
" ""37163"""	Sampson, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	7689	7096	7479	7637	8305	19554	24885	23113	21936	13700	(D)	(D)	11806	10871	10931	10303	9786	9626
" ""37165"""	Scotland, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	7765	6460	6541	6869	7364	8911	6479	7401	7362	9424	7212	6743	6383	6545	6666	6799	6065	5779
" ""37167"""	Stanly, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	8993	9303	9235	8954	10505	12787	15708	17423	17177	15759	14745	15196	14734	15236	14743	15213	19093	18668
" ""37169"""	Stokes, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	4495	6201	6864	7853	8558	9792	8981	9595	11122	11866	14621	12450	12088	8581	8750	7371	7135	7287
" ""37171"""	Surry, NC	5.0	CAINC6N	1200.0	54	   Professional, scientific, and technical services	Thousands of dollars	(D)	(D)	(D)	(D)	19884	21878	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	49006
