GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37039"""	Cherokee, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1368	1466	1431
" ""37041"""	Chowan, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	5574	5960	6054	6450	6360	6766	7203	6907	8000	8413	8152	8393	8391	12378	12639	11791	11012	11187	12756
" ""37043"""	Clay, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	310	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	795	644	978	(D)	2968	2349
" ""37045"""	Cleveland, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	97692	98710	100194	93403	87390	83146	86908	92329	101329	105617	116016	125251	117706	114500
" ""37047"""	Columbus, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	7007	8272	8354	9298	9347	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37049"""	Craven, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	39356	43161	46402	55381	59778	68255	71807	58461	37078	36357	42526	46980	45488	44921	43318	41009	50771	47421	56271
" ""37051"""	Cumberland, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	139960	135766	167618	181948	186483	187037	183048	181922	172542	171829	185624	207186	204815	210979	220461	211366	217161	210657	220468
" ""37053"""	Currituck, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	12339	18797	25923	24985	31689	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37055"""	Dare, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	5212	(D)	6652	7137	4980	5228	5612	5047	5625	5877	(D)	5962	5889	6348	6933	7205	7236	7200	(D)
" ""37057"""	Davidson, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	70586	66655	80788	80222	74937	72724	73662	73702	69580	73603	79381	100900	101078	101019	110263	113541	120300	(D)	(D)
" ""37059"""	Davie, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	20409	20007	20041	(D)	(D)	(D)	40479	41189	36279	35083	37438	38435	38168	38252	38380	37854	36056	33205	36656
" ""37061"""	Duplin, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	18218	16064	16589	16943	17898	14796	14001	7948	8147	8142	7897	8643	9535	10715	11425	14688	15302	17718	19629
" ""37063"""	Durham, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	93704	94087	90479	(D)	(D)	91767	111060	(D)	(D)	(D)	(D)	(D)	153854	225205
" ""37065"""	Edgecombe, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	18694	21003	24620	25260	26846	26071	25617	22547	(D)	(D)	(D)	(D)	(D)	(D)	(D)	7172	14491	17200
" ""37067"""	Forsyth, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	477294	442871	437356	425451	417938	416841	404377	422628	361643	359498	389671	416985	324877	358200	(D)	369309	(D)	(D)	(D)
" ""37069"""	Franklin, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	14378	15279	17637	20217	18089	19892
" ""37071"""	Gaston, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	58553	58711	65638	78357	53824	51831	52507	41545	35972	37085	36719	44717	51803	55581	65294	69564	71815	83598	93622
" ""37073"""	Gates, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	1032	985	1361	1693	1806	1659	1173	931	3132	3776	1246	1290	1270	1530	1616	1782	(D)	(D)	(D)
" ""37075"""	Graham, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	557	567	567	732	678	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37077"""	Granville, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	4872	(D)	(D)	8520	(D)	(D)	(D)	(D)	9685	(D)	(D)	22851	25791	25724	27269	31556	36094	45394	52861
" ""37079"""	Greene, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	2207	(D)	(D)	(D)	(D)	(D)	(D)	(D)	675	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37081"""	Guilford, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	694880	642188	665883	697719	721484	720752	735875	742267	722894	737113	789465	826471	807170	861329	897369	846153	957059	1036823	1174202
" ""37083"""	Halifax, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	12781	11790	11963	8177	16780	21389	21629	(D)	18915	20526	18431	19149	19065	21122	22742	22428	24942	27148	21275
" ""37085"""	Harnett, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	32703	34383	38775	39275	38888	39043	43956	46191	45650	27563	23441	25624	24029	26118	27311	(D)	28552	31496	35343
" ""37087"""	Haywood, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37089"""	Henderson, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	54420	(D)
" ""37091"""	Hertford, NC	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	3341	2381	2254	2298	3282	3341	4832	(D)	5287	(D)	(D)	(D)	(D)
