Series ID	Region Name	Region Code	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
NCCUMB2POP	Cumberland County, NC	37051	212.042	214.3	215.3	221.3	233.2	233.8	238.9	243.2	246.4	244.2	247.16	250.088	251.394	255.05	259.011	261.674	262.034	265.418	264.423	272.114	275.834	279.663	280.941	289.477	291.262	294.091	295.446	299.348	299.506	301.608	303.65	303.476	304.229	301.5	304.671	298.774	301.464	302.333	304.481	308.311	327.195	330.468	329.965	332.984	332.383	331.278	333.3	331.239	332.33
NCCURR3POP	Currituck County, NC	37053	6.976	7.2	8.0	8.8	9.6	10.0	10.2	10.2	10.7	11.3	11.089	11.19	11.537	12.3	12.631	12.545	12.922	13.122	13.326	13.619	13.799	14.176	14.583	15.086	15.654	16.047	16.487	16.942	17.471	17.856	18.295	18.75	19.45	20.502	21.763	22.813	23.419	23.825	24.1	24.16	23.674	23.903	24.022	24.25	24.817	25.112	25.654	26.323	27.072
NCDARE5POP	Dare County, NC	37055	6.995	7.6	7.7	8.4	9.3	9.8	10.4	11.1	11.9	12.7	13.377	14.066	14.593	15.12	15.981	17.027	18.385	19.58	20.956	22.143	22.929	23.092	23.567	24.197	24.963	25.909	26.67	27.721	28.606	29.366	30.177	30.898	32.021	32.871	33.417	33.626	33.829	33.993	34.076	34.261	33.982	34.155	34.383	34.81	34.894	35.432	35.765	36.115	36.501
NCDAVI4POP	Davidson County, NC	37057	95.627	98.5	100.9	102.4	102.9	103.9	105.1	107.0	109.1	111.2	113.162	114.797	116.026	116.905	118.708	120.053	121.144	123.78	124.49	125.779	127.175	128.823	130.427	133.028	134.381	136.679	139.249	141.709	144.023	146.106	147.657	149.21	150.444	151.526	152.42	153.193	154.517	156.099	158.094	158.631	162.861	162.932	163.06	163.325	163.425	163.575	164.394	165.313	166.614
NCDAVI9POP	Davie County, NC	37059	18.855	19.4	19.8	20.5	21.2	21.8	22.3	23.1	23.8	24.3	24.599	25.091	25.316	25.64	25.733	26.345	26.776	27.131	27.446	27.545	28.032	28.399	28.671	29.23	30.054	30.366	31.174	32.235	33.274	34.132	35.054	35.959	36.539	36.997	37.714	38.753	39.786	40.581	41.132	41.479	41.255	41.333	41.282	41.441	41.265	41.655	41.933	42.369	42.733
NCDUPL1POP	Duplin County, NC	37061	38.015	38.2	39.0	39.4	39.4	40.1	40.3	40.6	40.7	40.6	40.952	40.626	40.638	40.526	40.744	40.541	40.335	40.231	39.989	40.226	40.116	40.678	41.651	42.737	43.711	44.793	45.798	46.668	47.549	48.401	49.157	49.776	50.301	50.624	50.989	51.214	51.934	52.325	52.988	53.098	58.65	59.201	59.443	59.328	59.442	58.892	59.26	58.862	58.856
NCDURH8POP	Durham County, NC	37063	132.681	134.5	137.7	141.2	142.3	143.1	145.1	148.0	149.1	151.3	152.236	154.775	156.3	158.22	160.92	163.959	168.498	172.475	175.153	178.875	183.145	187.554	191.784	196.046	199.274	202.872	206.91	211.756	215.995	219.811	224.633	229.527	234.492	236.91	240.04	243.789	249.314	255.765	263.013	269.628	271.354	276.543	282.668	288.759	295.199	300.755	307.705	311.888	316.739
NCEDGE5POP	Edgecombe County, NC	37065	52.341	52.1	52.7	52.9	53.2	54.0	54.7	55.2	55.6	56.2	55.988	56.314	56.74	56.905	56.966	57.697	58.191	58.457	58.77	57.4	56.608	56.575	56.607	56.572	56.612	57.001	57.039	56.885	56.41	56.291	55.333	55.136	54.675	54.288	53.836	53.484	53.015	52.376	52.416	51.829	56.626	56.052	55.682	55.435	54.875	53.744	53.277	52.757	52.005
NCFORS5POP	Forsyth County, NC	37067	215.118	219.9	224.2	226.2	227.8	229.4	231.7	234.2	238.2	241.9	243.704	246.931	249.154	251.265	253.543	257.028	258.482	262.111	263.655	264.921	266.855	270.397	273.771	278.705	284.496	288.923	293.811	297.835	301.159	303.63	307.205	312.36	316.981	320.629	325.193	331.499	339.812	347.685	354.698	358.781	351.393	354.514	357.628	360.657	364.537	367.348	371.157	375.724	379.099
NCFRAN9POP	Franklin County, NC	37069	26.82	27.7	28.0	28.2	28.4	28.7	28.6	28.9	29.1	29.7	30.055	30.392	30.769	31.212	31.754	32.708	34.064	35.032	35.36	35.999	36.571	37.44	38.18	39.351	40.457	41.804	43.139	44.083	45.151	46.293	47.628	48.828	50.676	52.022	53.181	54.312	55.522	57.295	59.108	60.184	60.818	60.927	61.392	62.065	62.689	63.63	64.596	66.033	67.56
NCGAST0POP	Gaston County, NC	37071	148.415	150.8	153.8	156.1	156.7	156.9	156.3	157.0	158.2	159.9	162.568	164.656	166.369	166.973	169.045	171.767	171.5	172.394	173.9	174.803	175.132	177.35	178.654	179.94	181.237	182.916	184.428	186.072	187.284	189.127	190.791	191.785	192.539	192.354	192.605	194.649	197.644	202.104	206.534	208.282	206.105	206.861	207.902	209.228	210.573	212.971	216.716	219.819	222.846
NCGATE3POP	Gates County, NC	37073	8.524	8.5	8.5	8.4	8.4	8.7	8.5	8.5	8.4	8.6	8.875	8.838	8.936	8.865	8.985	9.116	9.222	9.269	9.333	9.326	9.337	9.364	9.524	9.696	9.832	9.957	10.086	10.199	10.436	10.479	10.498	10.504	10.54	10.68	10.713	11.083	11.444	11.739	11.75	11.751	12.165	12.041	11.889	11.701	11.631	11.529	11.567	11.515	11.573
NCGRAH5POP	Graham County, NC	37075	6.562	6.5	6.3	6.4	6.5	6.7	6.7	6.9	6.9	7.1	7.217	7.166	7.189	7.178	7.279	7.271	7.269	7.252	7.168	7.258	7.191	7.426	7.493	7.505	7.661	7.71	7.779	7.84	7.837	7.929	7.965	7.935	7.991	7.919	7.978	7.918	7.961	7.895	7.956	7.874	8.87	8.814	8.709	8.722	8.624	8.598	8.545	8.534	8.484
NCGRAN7POP	Granville County, NC	37077	32.762	33.4	33.4	33.6	33.7	33.6	33.5	33.7	33.8	33.8	34.043	34.402	34.79	35.273	35.681	35.973	36.871	37.38	38.051	38.312	38.465	38.901	39.771	40.688	41.191	42.281	43.281	44.277	46.386	47.498	48.857	50.123	51.758	52.497	52.781	53.445	54.325	56.413	57.277	58.028	57.665	57.489	57.55	57.759	57.999	58.182	58.699	59.374	60.115
NCGREE9POP	Greene County, NC	37079	14.967	15.4	15.1	14.9	15.0	14.9	15.0	15.0	16.0	15.6	16.117	15.954	15.855	16.116	16.026	15.944	15.849	15.672	15.493	15.375	15.44	15.679	15.782	16.149	16.637	17.26	17.742	18.166	18.598	18.687	18.981	19.133	19.328	19.585	19.785	19.719	20.227	20.593	20.58	20.544	21.259	21.514	21.194	21.016	21.018	20.952	21.08	20.98	21.012
NCGUIL1POP	Guilford County, NC	37081	288.645	294.6	298.9	300.6	300.7	302.0	305.4	310.1	312.5	314.9	317.154	320.029	322.602	324.773	327.27	329.656	332.688	336.905	340.908	344.523	349.135	356.433	362.884	370.568	378.575	387.665	394.358	401.113	409.44	416.459	422.3	427.77	430.901	434.532	438.024	444.873	454.767	463.987	472.863	478.841	489.589	494.891	500.471	506.401	512.275	517.414	525.055	529.496	533.67
NCHALI0POP	Halifax County, NC	37083	54.354	54.1	54.6	55.0	54.9	55.2	55.2	55.7	55.7	55.5	55.076	55.085	55.141	55.133	55.144	55.104	54.949	55.279	55.298	55.357	55.671	56.012	56.478	57.394	57.894	58.187	58.019	57.895	57.851	57.44	57.315	56.752	56.428	56.167	55.797	55.585	55.356	55.269	55.193	54.633	54.474	54.11	53.733	53.188	52.839	52.178	51.811	51.282	50.574
NCHARN0POP	Harnett County, NC	37085	49.667	50.7	52.8	53.6	55.1	55.7	56.1	57.6	58.5	59.3	59.57	60.551	61.176	61.713	62.277	63.537	64.516	65.74	66.921	67.579	68.03	69.189	71.373	73.671	75.59	78.353	81.651	84.169	86.513	89.127	91.494	93.572	96.432	97.819	99.874	102.353	104.995	108.16	111.6	115.213	115.742	119.158	122.197	125.032	126.704	128.027	130.631	132.229	134.214
NCHAYW7POP	Haywood County, NC	37087	41.71	42.5	43.3	43.4	43.8	44.5	44.9	44.9	45.7	46.2	46.495	46.742	46.894	46.649	47.125	47.331	47.747	47.194	47.267	47.11	47.003	47.631	48.51	49.295	49.723	50.513	51.397	52.343	52.996	53.602	54.095	54.543	54.906	55.362	55.813	55.863	56.229	56.707	56.915	57.034	58.935	58.722	58.642	58.966	59.134	59.636	60.389	61.036	61.971
NCHEND0POP	Henderson County, NC	37089	42.804	44.6	45.4	47.4	48.6	50.5	51.8	53.6	55.2	57.0	58.58	60.192	61.579	62.553	64.016	65.084	65.758	66.408	67.535	68.357	70.268	71.902	73.596	75.711	78.004	80.03	81.75	84.088	86.016	87.825	89.633	90.92	92.264	93.577	94.864	96.376	98.725	100.712	102.541	103.764	106.887	107.359	107.768	108.885	110.27	111.926	113.723	115.457	116.748
