GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	57224	57659	53379	43143	20670	(D)	29945	31601	30626	31736	36187	39684	37801	39796
" ""37029"""	Camden, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	(D)	(D)	(D)	0	0	0	0	0	0	0	0	0	0
" ""37031"""	Carteret, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1703	1896	1474	880	1089	1208	1461	1280	1283	954	1212	1078	912	862	564	(D)	687	701	699
" ""37033"""	Caswell, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
" ""37035"""	Catawba, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	87642	136677	129425	128377	132693	201316	215124	227021	170576	175485	220127	201665	190233	190109	206241	220366	227061	229487	238348
" ""37037"""	Chatham, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	2314	1734	2342	2925	3094	3187	3189	3579	(D)	2265	1889	2211	2373	3633	3079	2281
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1101	(D)	(D)	924	937	964	1012	852	985	923	736	782	783	737	749	623	722	690	461
" ""37041"""	Chowan, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37043"""	Clay, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
" ""37045"""	Cleveland, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7202	9349	3569	3692	3594	3497	2694	2391	4930	6741	7074	7827	7039	6994	5930	3113	2992	3324	2166
" ""37047"""	Columbus, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	14843	15324	14567	(D)	(D)	17821	(D)	14929	12602	13958	12938	15660	(D)
" ""37049"""	Craven, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4918	5166	5137	4758	5300	7209	7766	9694	9112	7986	9223	10928	11766	12274	14373	15055	14951	(D)	15153
" ""37051"""	Cumberland, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	13822	15155	17816	25083	23895	19951	18573	33812	26231	23927	27548	27096	27316	25682	27026	29596	38144	30389	24088
" ""37053"""	Currituck, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	(D)	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2333	(D)	(D)
" ""37055"""	Dare, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37057"""	Davidson, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	75704	73382	73406	70902	72096	66596	63319	51837	39209	95946	94968	101247	106186	120154	132194	154584	169714	179002	205313
" ""37059"""	Davie, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1358	(D)	(D)	1353	(D)	(D)	(D)	(D)	(D)	(D)	2996	3298
" ""37061"""	Duplin, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37063"""	Durham, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	227972	236640	255012	266525	206173	252106	200106	230186	255858	267242	327554	285112	213725	231956	235027	209270	230740	239044	246076
" ""37065"""	Edgecombe, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7562	6517	10075	8963	13054	21113	20700	67202	62205	62029	63539	101261	35789	34703	39009	34838	28161	26424	18621
" ""37067"""	Forsyth, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	155249	226166	261019	370161	330522	374038	372159	404016	375996	439290	483295	794720	836886	896452	1030486	929858	1051971	860750	784584
" ""37069"""	Franklin, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	(D)	0	0	0	0	0	0	(D)	(D)	(D)	(D)	0	0	0	0
" ""37071"""	Gaston, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	14994	10534	17668	16961	19475	25371	28392	32799	37410	32776	45420	35465	38178	35002	33463	43754	42958	48797	41524
