,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
72," ""37143""","Perquimans, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,902,987,1318,1663,1951,1963,2002,2098,1956,1918,2133,2390,2480,2291,2473,2536,2465,2476
73," ""37145""","Person, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,8110,7219,8572,8939,8762,9184,9375,9320,8940,9281,9559,9974,10035,10703,11322,11856,12361,13211
74," ""37147""","Pitt, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,78140,79946,83644,88379,91427,102107,102770,111545,109633,113910,121449,131551,141409,147735,148107,154102,161943,159868
75," ""37149""","Polk, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,6239,7395,7736,7046,8013,9909,13399,12858,13768,10297,12003,7258,8149,9564,10159,7868,7927,7980
76," ""37151""","Randolph, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,33807,35156,34610,30612,33596,37441,51018,48824,43680,42924,45185,49186,55053,51835,53207,54849,56288,55036
77," ""37153""","Richmond, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,10469,10415,9910,10306,10105,10459,10475,11573,11386,11558,11516,11640,11903,12000,10560,12304,13181,10865
78," ""37155""","Robeson, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,38547,39702,41382,41782,42972,43746,46650,49929,48791,53304,51251,55737,55484,54360,52775,55076,55984,57901
79," ""37157""","Rockingham, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,22491,21732,20821,21853,23205,25117,25257,24658,23334,23322,23442,24810,23680,23790,24234,26135,26484,27922
80," ""37159""","Rowan, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,37974,37691,41911,40157,43032,42362,43254,44447,36464,36345,39234,39351,50893,63281,51897,54802,56153,56944
81," ""37161""","Rutherford, NC",5.0,CAINC6N,1000.0,52,   Finance and insurance,Thousands of dollars,13244,14117,14219,13854,14785,15463,17109,19302,18914,19231,19808,19896,21357,21293,21227,20495,20267,20693
