,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20," ""37039""","Cherokee, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,8092,9583,9902,9920,9949,10546,11029,11722,11608,11443,11468,12226,12660,13089,13350,14074,14428,15250,15654
21," ""37041""","Chowan, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,5410,6000,7225,7733,7673,8871,8951,9489,9845,9586,9166,9353,8755,9109,8733,8578,8682,8957,9430
22," ""37043""","Clay, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,(D),2393,(D),2961,3013,3140,3250,3426,3423,3465,3476,3837,(D),(D),(D),(D),(D),(D),(D)
23," ""37045""","Cleveland, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,36040,38734,40713,42133,43239,46155,48921,51028,49906,49553,50791,51519,53550,56611,58740,55441,55889,57611,60332
24," ""37047""","Columbus, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,20631,22947,23255,24106,23313,23545,25378,25546,25832,24953,24480,25523,24724,25887,26351,26887,26915,28090,28988
25," ""37049""","Craven, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,41858,44375,46276,48932,51693,53627,55202,56543,54989,55131,55872,57088,56166,59542,63435,61736,61753,63693,67083
26," ""37051""","Cumberland, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,136212,145020,158843,185518,184601,181648,197990,198922,194240,206757,214690,211606,210040,211146,220713,227499,236137,247643,259294
27," ""37053""","Currituck, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,5995,6861,7775,9253,9949,10646,12568,12169,12029,(D),(D),(D),13900,15151,16343,16111,16217,17011,18338
28," ""37055""","Dare, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,17281,19397,22186,22795,23691,24975,24867,26250,26219,25380,26118,32942,33131,30799,29872,29441,31130,34740,35650
29," ""37057""","Davidson, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,54456,57802,61827,63363,63670,66513,69613,71976,71606,72891,73057,76948,78424,83576,87151,87277,90501,96390,100756
30," ""37059""","Davie, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,13731,14104,15158,14615,15312,15572,16384,16902,17747,17195,17915,18429,(D),19199,20160,20084,20954,21714,25596
31," ""37061""","Duplin, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,17022,18802,20443,21450,21082,22000,22135,23765,23293,23812,24011,25474,25985,28248,28377,31120,31019,32038,32996
32," ""37063""","Durham, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,209510,235471,225406,209911,224852,244924,281198,285013,293644,281949,290002,320159,333211,353916,381518,387083,397430,410968,446280
33," ""37065""","Edgecombe, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,22093,22825,25748,25580,24857,25901,25658,25781,24909,23430,(D),(D),(D),(D),(D),(D),26631,26896,27636
34," ""37067""","Forsyth, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,195790,209478,205723,208955,210213,217773,239963,246982,241464,240089,246076,256127,256296,273873,287999,288101,295670,310730,326536
35," ""37069""","Franklin, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,15631,17402,18984,20254,20971,21742,23510,25240,25017,25194,25111,26611,26717,29070,31289,32260,33162,34590,37417
36," ""37071""","Gaston, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,(D),95611,99253,99314,98986,102425,110258,115815,113151,109587,114991,116471,116032,128521,131738,131777,138892,142518,148992
37," ""37073""","Gates, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,3996,4302,4503,4918,5046,5238,5514,5725,5698,5678,5566,5685,5843,6360,6651,6771,6832,7177,7364
38," ""37075""","Graham, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,2421,2474,2628,2684,2839,3136,3899,4359,3918,(D),(D),(D),(D),(D),4571,4787,6543,(D),(D)
39," ""37077""","Granville, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,14450,15636,17139,17598,17830,18494,19807,21227,21997,20665,20301,21416,21630,22816,24104,25599,26661,28633,30464
40," ""37079""","Greene, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,5298,5656,6234,6647,6318,6581,7098,7451,7351,6759,(D),(D),(D),(D),7904,7940,8065,8271,9286
41," ""37081""","Guilford, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,327933,334421,358165,371104,363258,367955,381085,398144,385366,373119,388132,410359,420090,448388,464414,480835,484029,493836,517893
42," ""37083""","Halifax, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,25206,25627,27364,28338,27590,31635,32652,31780,31752,30496,30522,30843,31184,32885,33171,32876,33307,33864,35721
43," ""37085""","Harnett, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,29866,30566,33898,35075,35487,39144,40888,43546,44547,45327,46024,49936,51268,54736,56924,59528,63571,64960,69095
44," ""37087""","Haywood, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,23507,24530,26508,27650,27344,27250,29254,31082,31421,31282,31335,33009,32525,35031,38100,39867,40837,44332,45825
