,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
16," ""37031""","Carteret, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,18269,21447,23614,21361,23948,27986,27095,39098,34135,33366,29721,32479,28975,30239,30199,34376,40026,44593,54559
17," ""37033""","Caswell, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,1317,(D),(D),2368,(D),2019,708,1050,2083,2620,2971,3180,3546,3348,7073,4785,4947,6282,5039
18," ""37035""","Catawba, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,87676,93013,90467,104351,119489,146433,133215,132122,122240,133729,154595,173970,177425,186881,173194,192857,214068,201955,203031
19," ""37037""","Chatham, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,8863,10307,(D),12153,12769,18407,14095,16280,15461,17629,19169,20391,22142,34776,33803,38821,41705,37761,43230
20," ""37039""","Cherokee, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,3560,(D),(D),2049,2043,2424,2652,2820,3615,4126,7403,8578,5698,6957,6587,6901,5646,5385,6707
21," ""37041""","Chowan, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
22," ""37043""","Clay, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,248,296,(D),781,675,460,577,784,762,583,669,940,935,1387,1465,1625,1543,1584,1676
23," ""37045""","Cleveland, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),25633,25604,30491,30350,35224,49433,42488,30028,31193,56317,55930,57398,61610,60283,66655,76588,82878,85050
24," ""37047""","Columbus, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,14252,10737,10317,18390,19396,23057,22826,27531,21903,26652,(D),33853,34733,34367,34089,33908,32338,29522,30654
25," ""37049""","Craven, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,32790,37531,38230,45378,50856,61031,58841,63319,59976,49639,49764,57410,64276,77674,79945,80129,80266,75098,79789
26," ""37051""","Cumberland, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,125449,166924,186306,219795,239680,243970,246786,244843,271802,286819,306365,287926,299127,283273,267952,290822,261278,249397,256922
