,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15," ""37029""","Camden, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),1079,990,1156,863,(D),(D),(D),340,(D),624,(D),(D),(D),(D),(D),(D),(D),(D)
16," ""37031""","Carteret, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,49240,48478,53014,56947,58945,61030,64916,66613,65520,65920,67205,71798,75387,79466,84468,89946,95152,97328,109975
17," ""37033""","Caswell, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),(D),(D),1463,1707,1887,2000,1834,(D),1904,2029,1894,1773,2015,(D),2472,3374,(D)
18," ""37035""","Catawba, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,108940,94652,95996,99417,101386,107030,110262,108093,102007,112357,112208,118379,121809,129074,135779,145662,149448,156666,161650
19," ""37037""","Chatham, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,11497,12329,11426,13066,14278,15924,17358,18185,18615,18721,21186,24789,26923,28628,29196,29664,33549,34506,35563
20," ""37039""","Cherokee, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,9742,10041,10650,11752,(D),12338,13073,13281,12912,12338,12378,13311,16612,17984,18987,20207,21307,23495,24938
21," ""37041""","Chowan, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),5201,5905,5902,6142,6768,6666,6241,5893,6100,6965,6622,6554,7088,7408,7199,7797,6894
22," ""37043""","Clay, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,1681,(D),2386,2607,2732,(D),(D),(D),2793,(D),(D),(D),4021,(D),(D),(D),(D),(D),5039
23," ""37045""","Cleveland, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,28635,30765,31309,32621,34018,34795,38309,38475,36368,38013,39676,41391,43604,47615,51227,54296,53352,57708,58664
24," ""37047""","Columbus, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,11879,10445,11910,12751,11455,11695,13568,14380,15280,15100,(D),(D),18441,18991,19407,19898,21717,22972,22775
25," ""37049""","Craven, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,36376,38545,42053,45666,47318,54026,60785,64479,63944,58468,61735,65429,65786,68244,74535,82260,80141,81326,85702
26," ""37051""","Cumberland, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,134833,145961,158329,170404,174188,186782,197489,216853,218603,217819,225339,241907,246615,259859,264979,277281,290597,300552,311601
27," ""37053""","Currituck, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,7369,8686,9919,9021,10056,11415,12161,11902,11208,10911,11235,12991,15029,16295,17334,19461,20489,23411,22252
