,Series ID	Region Name	Region Code	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
NCCLAY3URN	Clay County, NC	37043															5.675	7.875	8.125	8.791666666666666	6.425	4.908333333333333	6.083333333333333	7.95	3.091666666666667	3.0416666666666665	4.008333333333333	4.883333333333333	5.766666666666667	4.825	4.125	4.216666666666667	3.8833333333333333	4.016666666666667	6.4	11.658333333333333	12.508333333333333	11.558333333333334	10.358333333333333	8.758333333333333	6.575	6.125	5.475	4.933333333333334	4.333333333333333	0.0
NCCLEV0URN	Cleveland County, NC	37045															4.425	7.216666666666667	7.383333333333333	5.366666666666667	4.466666666666667	5.191666666666666	7.241666666666667	5.608333333333333	5.433333333333334	5.133333333333333	4.858333333333333	9.15	10.125	8.55	7.408333333333333	6.95	6.316666666666666	5.941666666666666	8.166666666666666	15.05	14.775	12.366666666666667	11.05	9.491666666666667	7.3	6.383333333333333	5.466666666666667	4.591666666666667	3.95	0.0
NCCOLU0URN	Columbus County, NC	37047															5.891666666666667	7.908333333333333	10.008333333333333	8.475	7.533333333333333	6.75	7.925	6.3	7.825	8.941666666666666	7.591666666666667	8.241666666666667	8.916666666666666	7.841666666666667	6.283333333333333	6.383333333333333	5.566666666666666	5.375	7.675	12.875	13.416666666666666	13.383333333333333	12.25	10.283333333333333	8.541666666666666	7.541666666666667	6.433333333333334	5.408333333333333	5.008333333333333	0.0
NCCRAV5URN	Craven County, NC	37049															4.591666666666667	5.625	6.35	5.883333333333333	5.908333333333333	5.241666666666667	4.716666666666667	4.316666666666666	4.35	4.175	4.091666666666667	5.608333333333333	6.058333333333334	5.683333333333334	4.75	4.683333333333334	4.358333333333333	4.275	5.9	10.375	10.733333333333333	10.566666666666666	9.491666666666667	8.683333333333334	6.916666666666667	6.041666666666667	5.233333333333333	4.591666666666667	4.191666666666666	0.0
NCCUMB2URN	Cumberland County, NC	37051															4.875	5.9	5.791666666666667	5.4	5.175	5.333333333333333	4.625	4.25	4.091666666666667	3.825	4.383333333333333	6.008333333333333	6.808333333333334	6.183333333333334	5.275	5.4	5.375	5.291666666666667	6.1	8.933333333333334	10.116666666666667	10.508333333333333	10.491666666666667	9.658333333333333	8.075	7.3	6.4	5.7	5.133333333333333	0.0
NCCURR3URN	Currituck County, NC	37053															3.2666666666666666	4.358333333333333	3.5416666666666665	3.925	3.283333333333333	3.4583333333333335	3.0083333333333333	2.875	2.658333333333333	2.3	2.716666666666667	3.0	2.975	3.1666666666666665	2.9	3.05	3.341666666666667	3.183333333333333	4.325	6.85	8.9	9.05	8.55	7.833333333333333	6.316666666666666	5.791666666666667	5.075	4.3	3.6083333333333334	0.0
NCDARE5URN	Dare County, NC	37055															4.975	7.008333333333333	8.391666666666667	7.908333333333333	6.383333333333333	6.375	6.35	6.2	6.05	5.183333333333334	4.533333333333333	5.958333333333333	5.858333333333333	5.391666666666667	4.9	4.925	4.675	5.058333333333334	6.616666666666667	10.491666666666667	12.475	13.383333333333333	12.766666666666667	11.341666666666667	8.741666666666667	7.725	7.016666666666667	6.075	5.275	0.0
NCDAVI4URN	Davidson County, NC	37057															3.925	5.791666666666667	6.333333333333333	4.141666666666667	3.275	3.191666666666667	3.125	2.95	2.7666666666666666	2.325	3.2	6.108333333333333	6.6	7.141666666666667	6.458333333333333	5.991666666666667	5.825	5.558333333333334	7.05	12.8	12.3	11.016666666666667	9.7	8.2	6.308333333333334	5.55	4.833333333333333	4.258333333333333	3.6416666666666666	0.0
NCDAVI9URN	Davie County, NC	37059															4.408333333333333	4.991666666666667	4.141666666666667	4.025	2.7	3.575	3.5416666666666665	2.475	2.6083333333333334	2.558333333333333	4.141666666666667	5.175	5.75	6.058333333333334	4.933333333333334	4.25	4.158333333333333	4.858333333333333	6.008333333333333	11.333333333333334	11.75	10.583333333333334	9.05	7.483333333333333	5.875	5.033333333333333	4.508333333333333	3.95	3.433333333333333	0.0
NCDUPL1URN	Duplin County, NC	37061															5.5	8.591666666666667	9.233333333333333	7.833333333333333	5.875	5.491666666666667	5.308333333333334	4.566666666666666	6.808333333333334	6.216666666666667	4.266666666666667	6.1	7.416666666666667	6.741666666666667	5.658333333333333	6.025	5.158333333333333	4.433333333333334	5.783333333333333	9.425	9.283333333333333	9.475	9.133333333333333	7.991666666666667	6.408333333333333	5.725	5.333333333333333	4.825	4.308333333333334	0.0
NCDURH8URN	Durham County, NC	37063															2.683333333333333	3.45	4.008333333333333	3.4916666666666667	3.075	2.941666666666667	2.825	2.433333333333333	2.1416666666666666	2.05	2.8916666666666666	4.333333333333333	5.866666666666667	5.508333333333333	4.458333333333333	4.325	3.9	3.7916666666666665	4.716666666666667	7.766666666666667	8.241666666666667	8.091666666666667	7.408333333333333	6.266666666666667	5.133333333333333	5.008333333333333	4.5	4.016666666666667	3.475	0.0
