,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
41,37081,"Guilford, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,4137,4134,(D),2728,(D),3296,2932,2783,3112,4676,3967,4215,4100,3377,3784,3506,3577,3036
42,37083,"Halifax, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,6599,(D),(D),(D),(D),8199,7731,7778,7984,12098,12004,13891,11888,13795,13868,13295,13026,13047
43,37085,"Harnett, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
44,37087,"Haywood, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
45,37089,"Henderson, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20384,(D),(D),(D),(D),(D),(D),(D)
46,37091,"Hertford, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3936,3700,3770,5065,4222,5213,4465,4539,4641,5961,5616,6081,5914,6938,7254,6999,6895,7769
47,37093,"Hoke, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
48,37095,"Hyde, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3284,3558,3634,4227,4059,4213,3590,2989,3430,4983,4289,4749,4991,5062,5204,5450,5193,5209
49,37097,"Iredell, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),2233,(D),(D),2078,(D),(D),(D),(D),(D),6603,4421,4293,4882,4813,4851,5307
50,37099,"Jackson, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2703,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
51,37101,"Johnston, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),10247,11712,11821,10291,11018,11466,12450,14796,15422,17149,18332,19155,19631,21251
52,37103,"Jones, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3588,3455,2820,2887,2790,2857,2260,1851,2022,2568,3353,3703,4143,4582,4717,4339,4991,5150
53,37105,"Lee, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2658,2389,1971,1935,2021,2074,2029,2066,1878,2575,2818,3655,3546,3425,4060,4186,4800,(D)
54,37107,"Lenoir, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),5001,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
55,37109,"Lincoln, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),1605,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
56,37111,"McDowell, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),1479,1270,1209,771,918,703,570,520,839,979,1733,1793,1961,2248,2241,(D),(D)
57,37113,"Macon, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),423,365,(D),261,(D),(D),(D),(D),(D),(D),(D)
58,37115,"Madison, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2273,(D),(D),(D),(D),(D),(D),(D),1155,1505,(D),(D),(D),(D),(D),(D),(D),(D)
59,37117,"Martin, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,7853,7946,7481,8192,7961,9206,9081,8067,8630,7699,7350,8846,9551,12276,11732,11883,13150,14346
60,37119,"Mecklenburg, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),9949,(D),(D),11501,10146,10857,11155,19526,19825,25890,24789,20152,22134,19696,20487,22625
61,37121,"Mitchell, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,910,1001,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
62,37123,"Montgomery, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),4672,(D),(D),(D),(D),(D),(D),9495,8305,8261,8375
63,37125,"Moore, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,5522,5266,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5608,(D),(D),(D),(D),(D)
64,37127,"Nash, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
65,37129,"New Hanover, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2940,1934,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
66,37131,"Northampton, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),6708,8203,7288,7242,7436,8035,(D),(D),7154,(D),(D),7592,8015,8194
67,37133,"Onslow, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),7273,7839,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
68,37135,"Orange, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,12763,10986,(D),(D),(D),6072,-6287,-10569,-3232,53225,30328,54004,(D),38750,42203,25365,(D),16358
69,37137,"Pamlico, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,8544,8236,8733,8300,6994,5670,4376,3844,4163,(D),(D),(D),(D),(D),6236,5842,6062,6596
70,37139,"Pasquotank, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3614,3270,3534,3934,3940,3697,4150,4549,4959,4974,4651,4869,5027,5521,5971,6048,5968,6368
71,37141,"Pender, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),5535,6429,7678,8075,(D),3700,(D),(D),(D),(D),(D)
72,37143,"Perquimans, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2307,2139,1924,1956,2561,2611,2313,2486,2438,(D),2567,3196,4174,4638,5162,4026,4212,4494
73,37145,"Person, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1269,1281,1357,1322,1209,(D),(D),(D),(D),(D),(D),(D),(D),3084,3065,2903,2695,2925
74,37147,"Pitt, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8036,(D),(D)
75,37149,"Polk, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1907,2040,2210,2373,2488,3360,3407,3486,3833,4934,4167,4349,4087,4578,(D),(D),5315,5194
76,37151,"Randolph, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3128,2910,3020,3221,2885,(D),(D),(D),(D),(D),(D),5012,4903,5935,6630,6673,6362,6884
77,37153,"Richmond, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3135,3249,2877,5346,4973,5324,4770,4190,4517,6182,5982,6517,5173,5941,(D),(D),(D),7122
78,37155,"Robeson, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,10701,6046,5806,5003,4482,(D),(D),(D),4857,5455,5522,5605,6514,7988,9037,9539,7805,9402
79,37157,"Rockingham, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
80,37159,"Rowan, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1797,1624,1735,2000,2027,2776,2659,2209,2015,2058,2246,2305,2242,2470,3156,3744,4741,5314
81,37161,"Rutherford, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),4480,4173,4188,3776,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
82,37163,"Sampson, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,19397,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),30612,30393,32175,32515,33684,33352,35615
83,37165,"Scotland, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2071,1805,1816,768,776,914,1010,835,918,991,(D),(D),(D),(D),(D),(D),(D),842
84,37167,"Stanly, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
85,37169,"Stokes, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,941,967,813,770,862,1057,(D),(D),(D),938,828,989,1004,1199,1139,1172,1285,1346
