,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
25," ""37049""","Craven, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,42271,46160,50040,60501,66065,75865,81735,67318,47315,48286,57180,59750,57756,57505,56461,51587,60455,57111
26," ""37051""","Cumberland, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,157986,154325,185742,198294,203190,203259,201605,194414,185944,190077,209812,235223,230385,237613,245822,231620,226892,220933
27," ""37053""","Currituck, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),(D),13238,19272,25982,25037,32686,(D),(D),(D),(D),(D),(D),(D)
28," ""37055""","Dare, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,5435,(D),7005,9156,7396,8127,8011,6666,9172,12145,(D),7191,7779,9380,10858,10362,11208,11140
29," ""37057""","Davidson, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,90876,87537,102639,100770,95971,96283,105663,100208,94985,99704,106077,129085,131637,139319,144397,140347,144985,(D)
30," ""37059""","Davie, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,25382,25138,24659,(D),(D),(D),45674,45216,40231,38867,40604,41485,41363,42736,43216,42259,40687,37851
31," ""37061""","Duplin, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,34140,32445,32995,31598,30703,26385,27356,18269,18977,21414,24041,27162,25053,25198,24843,27987,30053,32285
32," ""37063""","Durham, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),98454,101753,96092,(D),(D),108093,125602,(D),(D),(D),(D),(D),166212
33," ""37065""","Edgecombe, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),20261,21390,25793,26707,29531,28915,28114,25312,(D),(D),(D),(D),(D),(D),(D),11192,18398
34," ""37067""","Forsyth, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,479751,445598,440319,433994,436702,438805,432273,434831,369443,368763,416980,459154,364390,394768,(D),394238,(D),(D)
35," ""37069""","Franklin, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18199,22128,24418,27770,25663
