,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
18,37035,"Catawba, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,31468,27309,30178,33238,30792,29127,31897,32131,34309,34983,42943,40624,40476,41520,42070,41472,40108,46541,38885
19,37037,"Chatham, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,5424,4598,5247,6175,5599,4570,4770,4744,5350,5993,5374,5451,5126,4928,5536,5958,9020,9677,10085
20,37039,"Cherokee, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,3789,3997,4168,4765,4715,5110,5411,5214,4829,4622,4657,4638,4638,4698,4126,3909,3887,3806,4104
21,37041,"Chowan, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,2405,2294,2559,3009,3516,3473,2710,2801,2595,2426,2473,2641,2646,2574,2431,3079,3088,3629,4014
22,37043,"Clay, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),638,673,563,591,(D),(D),(D),(D),(D),(D),(D)
23,37045,"Cleveland, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,12073,11355,12128,13088,13800,14400,15375,13276,12649,12006,10402,10527,13611,13598,13738,48530,46799,46030,53691
24,37047,"Columbus, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,8198,8370,8749,9329,8626,8557,7524,7197,6796,6284,6262,6436,5580,5982,6040,5658,5405,5137,4060
25,37049,"Craven, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,26635,27438,28575,27360,27472,27324,30211,32705,28809,23698,24586,24879,22758,21857,19366,19227,17546,16415,14022
26,37051,"Cumberland, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,95547,96638,99570,103044,119932,122897,123282,122350,92079,85642,84030,87096,92988,88398,86204,79742,76109,72960,68188
27,37053,"Currituck, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,335,853,(D),1223,1512,1230,1131,912,1040,681,(D),(D),909,1100,1362,1621,1777,1060,902
