,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
22,37043,"Clay, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,13082,13485,14716,15612,17330,18004,19562,20886,20661,20531,20276,20568,21121,21681,22843,22529,22778,23739
23,37045,"Cleveland, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,166028,166206,174184,181952,189945,197808,207289,212556,212552,212614,212830,214806,218437,219965,226233,250536,254136,257431
24,37047,"Columbus, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,86281,85613,89512,93529,99255,101267,106807,107880,105751,105772,101293,101783,102589,102399,106866,107637,107241,108913
25,37049,"Craven, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,219661,223996,234380,254796,263585,274647,290400,302583,304836,309032,309880,308658,312109,311203,325551,325977,333055,352970
26,37051,"Cumberland, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,692997,714357,(D),810959,852775,908832,954953,1012093,1035694,1056706,1069059,1071764,1098445,1097681,1146174,1138988,1178163,1235553
27,37053,"Currituck, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,(D),(D),(D),(D),(D),(D),50916,(D),(D),(D),(D),53471,54269,55516,58829,61724,62601,65797
28,37055,"Dare, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,74266,77463,84677,92998,102105,110159,116186,119956,121165,122587,119358,119728,122403,123390,127898,128570,133056,140297
29,37057,"Davidson, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,212174,215580,220176,227975,237145,251186,264413,271045,271816,284163,268513,265217,265407,271989,287452,287416,293122,297659
30,37059,"Davie, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,48747,50278,53695,54481,57603,62691,69040,70092,71299,71543,70013,71004,71744,71664,75036,73944,76397,79315
31,37061,"Duplin, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,93434,95410,105039,116275,122878,123272,125107,127558,126187,126105,126828,127196,136326,138892,149890,148758,151401,154121
