,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
30,37059,"Davie, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,5581,5270,6371,5961,6064,6543,8323,7584,7075,7933,7752,5848,3452,2919,3193,6973,7451,8390,6666
31,37061,"Duplin, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,3604,3956,4195,4266,711,772,788,577,560,595,638,538,530,(D),1081,867,791,(D),639
32,37063,"Durham, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,38696,35042,32357,53082,53459,58560,62137,56652,55604,56599,70704,79937,96265,100337,100579,96584,98243,97797,103320
33,37065,"Edgecombe, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,2836,2676,3431,3271,3157,4350,4971,3674,1856,1256,1057,1839,2026,1762,1375,1177,888,1285,2256
34,37067,"Forsyth, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,37511,39230,38567,38524,44359,49359,59630,67088,63864,64103,67107,61522,77980,86479,89469,89659,95239,90359,78267
35,37069,"Franklin, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,813,841,937,874,925,992,1182,1636,1722,1972,2380,1964,1577,1340,2914,2597,(D),2841,3016
36,37071,"Gaston, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,13967,11170,11517,10971,11139,10669,13332,12144,13059,15278,14173,16510,18353,25604,22165,28293,24300,25441,25846
37,37073,"Gates, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,460,501,573,656,1099,852,1224,416,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
38,37075,"Graham, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,1050,1240,(D),(D),1327,1072,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
39,37077,"Granville, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,668,641,593,633,729,899,965,851,710,548,557,857,1343,1172,995,900,977,1088,1432
40,37079,"Greene, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,1841,1790,718,733,(D),(D),(D),(D),(D),(D),(D),806,(D),1429,(D),(D),(D),(D),(D)
41,37081,"Guilford, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,48013,53465,58732,57836,64041,82768,93817,87446,82412,84524,93192,110092,102994,93756,93344,101326,118750,125360,133171
