,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15,37029,"Camden, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,4380,4546,6182,7778,10533,15739,15222,11400,9022,8590,7496,8060,7391,8129,8217,8819,9427,9396,9647
16,37031,"Carteret, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,85362,85439,93991,110872,127328,136882,121696,100535,89341,87854,78825,85462,83263,84042,87667,89556,111923,115904,120539
17,37033,"Caswell, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,15861,16752,16137,14503,13647,15191,15843,12950,13493,14646,15302,16238,15686,16277,18542,18450,21429,27004,28478
18,37035,"Catawba, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,175765,166167,153506,158204,169705,195320,206167,189867,170641,174485,157650,159212,161685,173227,171273,184583,213910,237281,258418
19,37037,"Chatham, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,64487,59425,58512,59330,64274,75989,73108,63389,57893,55692,58907,67366,75716,42535,53900,71884,79738,65319,77393
20,37039,"Cherokee, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,57248,58810,56763,45069,50442,59698,61015,52281,43080,(D),(D),40531,(D),(D),37845,37662,38489,38634,39017
21,37041,"Chowan, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,10460,10892,11779,13629,14337,15754,16896,13388,9222,7422,7477,11524,11203,11163,9865,11125,12098,12473,12092
22,37043,"Clay, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,18398,18132,20131,23996,23529,25867,22809,18432,13946,14257,10100,8535,8692,(D),14780,15306,16318,17163,17366
23,37045,"Cleveland, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,79680,76144,75142,77017,81122,83179,86077,80961,76113,81772,91955,105216,106880,107563,110904,118639,148830,152859,144686
24,37047,"Columbus, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,30311,31749,32595,33319,39006,35436,36203,30528,28446,31237,29549,32850,33381,32309,30352,32942,34758,38411,40790
25,37049,"Craven, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,102299,87828,113899,108470,114958,122706,134355,114574,107465,94292,94146,87495,76320,82100,87247,97165,102554,106519,115229
26,37051,"Cumberland, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,245059,322883,320649,280850,340606,395414,431552,369975,369328,405133,428846,464322,468975,427110,396668,367584,405533,489086,544931
