,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14,37027,"Caldwell, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,52738,59563,60554,61254,63724,66009,62677,58506,59527,62896,60852,62845,63275,66910,67713,68411,68422,71502,74313
15,37029,"Camden, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,5334,6434,6887,7525,8793,10368,10207,8137,8561,9722,9792,9725,9353,8499,8758,9104,8725,9544,9817
16,37031,"Carteret, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,44656,48924,49857,49480,54687,59581,61870,57777,59136,63532,65749,69350,70825,75646,78114,80078,76745,79909,85852
17,37033,"Caswell, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,10166,11649,11284,11493,12144,12785,11774,10496,10909,11734,12203,12992,12799,13773,13607,13564,13213,13927,14568
18,37035,"Catawba, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,117088,121164,123237,136124,144139,159780,158712,144154,146360,151638,153514,156638,153442,164871,171376,172712,171334,181751,188104
19,37037,"Chatham, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,30883,35202,35980,39147,42258,46513,46086,42026,44429,50121,52100,53257,54504,56724,58158,60552,60355,64977,68824
20,37039,"Cherokee, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,14783,17565,17548,17878,19251,20885,19526,17445,17343,19233,20018,21603,21368,21999,22514,22960,22552,23648,24430
21,37041,"Chowan, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,7607,8621,9653,10991,11564,13659,12937,12826,13842,15297,15191,15988,15047,14950,13842,12755,12429,12339,12964
22,37043,"Clay, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,(D),8898,(D),9228,10142,10534,6082,4788,4456,7503,7130,7254,(D),(D),(D),(D),(D),(D),(D)
23,37045,"Cleveland, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,69951,79191,75040,70801,75606,81575,79639,73149,73130,78096,80866,84010,84387,88414,90961,86866,85332,86025,90023
24,37047,"Columbus, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,30644,34892,34496,36267,36462,37333,36358,33572,35229,38397,39618,42414,40839,42678,42273,39595,38492,33345,34479
25,37049,"Craven, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,53089,57774,59106,62469,67203,71112,70570,69142,69679,75770,78231,82494,81819,87000,87831,86387,85951,92964,97669
26,37051,"Cumberland, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,181758,199358,207618,240918,249973,257726,261726,246344,249048,283166,296820,301441,297033,301982,310177,298935,302361,315751,330462
27,37053,"Currituck, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,9934,11560,12718,15311,17741,19153,20169,17593,17992,(D),(D),(D),20450,22529,23967,23968,23946,24689,26361
28,37055,"Dare, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,29339,33782,36630,39719,43171,45866,40952,37009,37910,40898,43602,50461,50624,49053,49929,49060,50694,55669,57520
29,37057,"Davidson, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,91281,101736,104566,108311,116532,123771,119808,109404,112287,127177,126945,136309,134353,142920,145272,146356,148843,157286,164388
30,37059,"Davie, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,20565,22257,23678,25298,28248,29413,28045,25544,26267,26182,24157,26978,(D),31420,31618,31763,32260,33593,38009
31,37061,"Duplin, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,26437,30034,31275,34126,35325,38155,36288,34858,36377,41932,42299,44750,43412,46555,45033,46968,45040,46798,48420
32,37063,"Durham, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,216790,244157,246791,260584,284759,311817,339654,329118,345242,356125,366486,398983,408270,436157,467396,474422,479720,499675,538973
33,37065,"Edgecombe, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,29067,31145,37338,37488,38268,35356,32817,30981,30882,32977,(D),(D),(D),(D),(D),(D),34621,34638,35726
34,37067,"Forsyth, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,260405,286567,276417,276783,290863,310593,327611,314241,316590,339184,350603,372772,372939,401773,421607,421003,423560,441015,462675
35,37069,"Franklin, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,25853,29597,30953,33787,37867,40445,39254,36898,37382,41381,40361,42788,41669,45227,47772,49417,50454,53661,57345
