,	GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
64,"72	"" """"37000""""""	North Carolina	5.0	CAINC6N	900.0	51	   Information	Thousands of dollars	(D)	4521107	4648008	4744453	4871495	4987973	5213651	5320155	5352937	5353426	5594126	5966554	6161686	6889922	7361778	7606924	7789924"
65,"73	"" """"37000""""""	North Carolina	5.0	CAINC6N	901.0	511	    Publishing industries (except Internet)	Thousands of dollars	1158294	1173856	1240313	1318937	1332072	1389384	1413311	1449531	1411472	1406017	1466142	1575274	1648494	2085358	2294781	2457134	2573492"
66,"74	"" """"37000""""""	North Carolina	5.0	CAINC6N	902.0	512	    Motion picture and sound recording industries	Thousands of dollars	99871	93260	99143	105139	110929	114001	129708	137840	144848	147243	141433	150694	153081	166314	196875	207610	192028"
67,"75	"" """"37000""""""	North Carolina	5.0	CAINC6N	903.0	515	    Broadcasting (except Internet)	Thousands of dollars	465782	481753	546804	579465	659528	696055	739828	551470	536125	540073	537652	613530	678090	721303	724043	769608	714757"
68,"76	"" """"37000""""""	North Carolina	5.0	CAINC6N	904.0	516	    Internet publishing and broadcasting 4/	Thousands of dollars	(D)	15353	16321	20408	30414	47476	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)"
69,"77	"" """"37000""""""	North Carolina	5.0	CAINC6N	905.0	517	    Telecommunications	Thousands of dollars	1762951	1717570	1684117	1699096	1754066	1666760	1792571	2037351	2141643	2102322	2182151	2185491	2171365	2276018	2322411	2371347	2362181"
70,"79	"" """"37000""""""	North Carolina	5.0	CAINC6N	907.0	519	    Other information services 4/	Thousands of dollars	40013	32328	38616	44249	55525	61279	135209	161705	169324	170127	159352	218388	216031	216464	231732	219737	238722"
71,"80	"" """"37000""""""	North Carolina	5.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	8948378	9360690	9871385	10512441	11608707	13235427	13692420	13584429	12272516	13304601	13983244	14533506	15235273	16509788	17703592	18447486	20178889"
72,"81	"" """"37000""""""	North Carolina	5.0	CAINC6N	1001.0	521	    Monetary Authorities-central bank	Thousands of dollars	(D)	8697	11614	28511	36390	41004	45988	47673	37138	35681	(D)	(D)	26835	29055	31864	31252	34308"
73,"82	"" """"37000""""""	North Carolina	5.0	CAINC6N	1002.0	522	    Credit intermediation and related activities	Thousands of dollars	4698879	4968262	5457187	5749947	6486775	7546114	7441356	7259832	6388936	6898321	7283596	7516279	7888963	8210335	8658198	8976705	9742313"
