,County	Collections
438,Davie	1648986.0
439,Davie	1581204.0
440,Davie	1626925.0
441,Davie	1524087.0
442,Davie	1644842.0
443,Davie	1535925.0
444,Davie	1526819.0
445,Davie	1349130.0
446,Davie	1380761.0
447,Davie	1635003.0
448,Davie	1537943.0
449,Davie	1497668.0
450,Duplin	1768284.0
451,Duplin	1638953.0
452,Duplin	1905668.0
453,Duplin	1739366.0
454,Duplin	1836352.0
455,Duplin	1897192.0
456,Duplin	1931598.0
457,Duplin	1764832.0
458,Duplin	1569747.0
459,Duplin	1699908.0
460,Duplin	1755927.0
461,Duplin	1955587.0
462,Duplin	1908638.0
463,Duplin	1924283.0
464,Duplin	1880336.0
465,Durham	31374610.0
466,Durham	28268554.0
467,Durham	32397608.0
468,Durham	28827684.0
469,Durham	33786038.0
470,Durham	33171859.0
471,Durham	32522117.0
472,Durham	29891421.0
473,Durham	33123461.0
474,Durham	31566396.0
475,Durham	33416382.0
476,Durham	31338015.0
477,Durham	32295945.0
478,Durham	30951470.0
479,Durham	33726344.0
480,Edgecombe	1548579.0
481,Edgecombe	1717416.0
482,Edgecombe	1399728.0
483,Edgecombe	1489431.0
484,Edgecombe	2472883.0
485,Edgecombe	2803308.0
486,Edgecombe	2750909.0
487,Edgecombe	2453926.0
488,Edgecombe	1545019.0
489,Edgecombe	2067744.0
490,Edgecombe	2472298.0
491,Edgecombe	1684116.0
492,Edgecombe	2558432.0
493,Edgecombe	1886337.0
494,Edgecombe	2585075.0
495,Forsyth	23617204.0
496,Forsyth	23753865.0
497,Forsyth	21905827.0
498,Forsyth	23886582.0
499,Forsyth	26170805.0
500,Forsyth	22525919.0
501,Forsyth	23220626.0
502,Forsyth	22919049.0
503,Forsyth	19165903.0
504,Forsyth	23465491.0
505,Forsyth	23650707.0
506,Forsyth	23900102.0
507,Forsyth	22701267.0
508,Forsyth	21028081.0
509,Forsyth	24155463.0
510,Franklin	1944051.0
511,Franklin	1591501.0
512,Franklin	1849657.0
513,Franklin	1878114.0
514,Franklin	1627623.0
515,Franklin	1872440.0
516,Franklin	1998626.0
517,Franklin	1976245.0
518,Franklin	1839468.0
519,Franklin	1617476.0
520,Franklin	1785232.0
521,Franklin	1988078.0
522,Franklin	2048978.0
523,Franklin	1878194.0
524,Franklin	1906120.0
525,Gaston	10638046.0
526,Gaston	8887430.0
527,Gaston	11036575.0
528,Gaston	9688221.0
529,Gaston	11058869.0
530,Gaston	9005933.0
531,Gaston	10734154.0
532,Gaston	9097400.0
533,Gaston	10226277.0
534,Gaston	11333659.0
535,Gaston	10247280.0
536,Gaston	9443366.0
537,Gaston	10588055.0
538,Gaston	9779095.0
539,Gaston	10415057.0
540,Gates	148341.0
541,Gates	166793.0
542,Gates	179027.0
543,Gates	140698.0
544,Gates	161009.0
545,Gates	152072.0
546,Gates	156879.0
547,Gates	136535.0
548,Gates	151166.0
549,Gates	153856.0
550,Gates	197908.0
551,Gates	146967.0
552,Gates	157354.0
553,Gates	136843.0
554,Gates	184379.0
555,Graham	330852.0
556,Graham	317946.0
557,Graham	358374.0
558,Graham	255739.0
559,Graham	197867.0
560,Graham	293774.0
561,Graham	321500.0
562,Graham	356761.0
563,Graham	351996.0
564,Graham	320833.0
565,Graham	407743.0
566,Graham	236093.0
567,Graham	296044.0
568,Graham	389208.0
569,Graham	295377.0
570,Granville	1583876.0
