,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
20,37039,"Cherokee, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,7752,7981,9285,11355,13244,14330,14248,14166,15653,19209,12580,14033,11072,9900,11298,11298,16084,20536
21,37041,"Chowan, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,4254,4647,4925,6603,6764,7570,7561,8730,10016,13017,7818,8784,7130,7521,7453,8227,8591,7402
22,37043,"Clay, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,1129,1050,1269,1940,2467,2777,2890,3675,3764,6102,2989,3438,2384,2522,2640,2980,3420,3458
23,37045,"Cleveland, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,21078,20373,26394,31440,35059,38878,40736,51006,59238,86547,47817,57584,41211,38291,34419,42307,46747,46565
24,37047,"Columbus, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,28113,28112,19555,23237,24742,25571,27645,30560,30292,36868,27400,31781,28138,26555,27579,28790,31827,32921
25,37049,"Craven, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,28761,30425,32244,40359,45392,49915,58024,66496,69582,78763,50598,58318,53441,53578,53299,53268,57827,63094
26,37051,"Cumberland, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,120142,112157,110670,133117,138671,146582,152668,181915,194363,242396,151368,164232,135660,140207,137234,148859,159929,171568
27,37053,"Currituck, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,(D),(D),2477,4102,4944,5301,5591,7055,8576,21219,19561,22204,20147,15122,7189,8089,7764,7990
28,37055,"Dare, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,17823,22418,31850,36213,33991,33192,33640,38668,41459,47448,31794,32578,29961,28704,27446,32047,34954,35291
29,37057,"Davidson, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,30186,27619,28503,37523,41013,44743,45342,53820,56272,74918,47233,54611,43572,42701,40849,44787,53284,51857
30,37059,"Davie, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,5332,6477,8095,11161,13966,15592,16300,23491,20673,24488,16279,18882,15558,15998,14871,15932,18561,20649
