GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37029	Camden, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	31	36	29	6	5	-4	-14	-4	1	13	38	37	54	28	21	34	160	181
 37031	Carteret, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	4	5	0	2	4	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	91	90	(D)	(D)	(D)
 37033	Caswell, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37035	Catawba, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	1787	1626	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37037	Chatham, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	401	2491	2439	2028	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37039	Cherokee, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37041	Chowan, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	42	48	16	-70	-264	-529	-501	-233	0	-1	3	0	5	14	22	64	474	534
 37043	Clay, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	30	11	21	29	71	80
 37045	Cleveland, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	5212	4702	4424	4246	4550	4541	4443	4938	(D)	3837	3560	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37047	Columbus, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	-80	-68	(D)	(D)	31	-21	-73	-27	1	100	182	206	112	63	31	43	344	387
