GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37019	Brunswick, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	(D)	(D)	59189	70983	76850	76957	72445	73325	75420	80406	73667	44518	41346	41280	44246	45356
 37021	Buncombe, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	173729	177909	188347	189920	201153	221358	223728	224806	200017	213739	222502	217822	214617	236067	248956	253513	263535	270453
 37023	Burke, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	46802	43707	38331	36883	35921	35309	31547	28063	24080	21749	21494	26706	25872	28127	27074	31930	34812	35583
 37025	Cabarrus, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	117355	124008	126255	154157	181870	204768	200405	195821	180448	176375	176881	204485	222189	236680	263799	(D)	(D)	(D)
 37027	Caldwell, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	84947	96622	104124	118407	119564	128575	132987	134609	127701	121387	131091	126777	117622	123885	132118	146208	184916	190006
 37029	Camden, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	1658	1999	1871	2223	2033	(D)	2791	2400	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37031	Carteret, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	33965	33528	43129	43627	40456	41961	49867	47438	45788	41201	48302	57392	48190	50961	44912	60858	58641	60661
 37033	Caswell, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	859	666	1140	1589	2991	3458	3659	4025	4529	4279	4855	3543	2130	1795	1754	2684	2773
 37035	Catawba, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	212738	199040	206805	233724	245119	257186	235526	242056	258226	262852	281508	316245	336827	357719	395275	381315	(D)	(D)
 37037	Chatham, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	19142	18938	22473	26416	25569	31496	42465	38078	27420	27266	31147	32345	32890	35528	43088	44110	46800	47284
 37039	Cherokee, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	3715	3984	4610	5283	4584	4176	4195	3819	5772	7853	7873	8382	5227	5239	6464	8108	8942	9073
 37041	Chowan, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	12627	12564	13175	12846	12761	13759	15315	15757	16618	16742	17528	19424	21881	22129	23365	22277	26562	26402
 37043	Clay, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	(D)	(D)	1009	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1384	1579	1650	(D)	1832
 37045	Cleveland, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	66074	65172	59695	59333	65675	72577	69313	69887	60707	60961	(D)	(D)	(D)	(D)	(D)	(D)	64383	66415
 37047	Columbus, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	21764	23429	15432	15492	17601	18892	22075	19448	20719	20840	20343	20801	21324	21950	21358	20283	20343	20885
 37049	Craven, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	41560	45999	43584	44911	45075	49658	53764	54807	52470	59708	61040	62302	66431	71425	80922	77166	70560	71068
 37051	Cumberland, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	107554	109902	112146	119785	125551	135198	140396	144212	146521	153718	157037	161282	160056	163232	153120	157826	153387	156844
 37053	Currituck, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	4201	4258	4561	5043	6680	6726	(D)	(D)	(D)	(D)	(D)	6405	7434	7799	7863	7542	8969	9190
 37055	Dare, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	13857	13442	14284	17206	17963	19079	23672	27561	18912	16722	18031	19733	22174	24323	25805	23072	24817	25196
