County	Sales
Durham	678428840.0
Durham	650201098.0
Durham	708654124.0
Edgecombe	32474458.0
Edgecombe	35938584.0
Edgecombe	29398430.0
Edgecombe	31214199.0
Edgecombe	51924094.0
Edgecombe	58915784.0
Edgecombe	57749697.0
Edgecombe	51507757.0
Edgecombe	32356162.0
Edgecombe	43420203.0
Edgecombe	51905545.0
Edgecombe	35343987.0
Edgecombe	53758085.0
Edgecombe	39556023.0
Edgecombe	54310603.0
Forsyth	495686673.0
Forsyth	497296616.0
Forsyth	459978548.0
Forsyth	500479930.0
Forsyth	549646166.0
Forsyth	472264006.0
Forsyth	487325044.0
Forsyth	481431550.0
Forsyth	401973750.0
Forsyth	492372584.0
Forsyth	496369234.0
Forsyth	500226864.0
Forsyth	476492674.0
Forsyth	441306827.0
Forsyth	506203435.0
Franklin	40760335.0
Franklin	33357987.0
Franklin	38791776.0
Franklin	39321254.0
Franklin	34053269.0
Franklin	39234958.0
Franklin	41952783.0
Franklin	41419951.0
Franklin	38592113.0
Franklin	33946839.0
Franklin	37504875.0
Franklin	41717078.0
Franklin	42950093.0
Franklin	39329026.0
Franklin	40023642.0
Gaston	223345279.0
Gaston	186235459.0
Gaston	230883572.0
Gaston	203111790.0
Gaston	231844104.0
Gaston	188823445.0
Gaston	225121351.0
Gaston	190910779.0
Gaston	214360252.0
Gaston	237892959.0
Gaston	215272147.0
Gaston	198241898.0
Gaston	220889190.0
Gaston	205154995.0
Gaston	218674610.0
Gates	3119440.0
Gates	3501840.0
Gates	3761895.0
Gates	2960254.0
Gates	3354328.0
Gates	3197450.0
Gates	3298492.0
Gates	2870609.0
Gates	3168732.0
Gates	3241881.0
Gates	4064763.0
Gates	3056297.0
Gates	3290072.0
Gates	2899185.0
Gates	3861456.0
Graham	6937910.0
Graham	6695625.0
Graham	7422500.0
Graham	5312650.0
Graham	4100609.0
Graham	6191131.0
Graham	6754000.0
Graham	7479967.0
Graham	7402264.0
Graham	6691972.0
Graham	8626382.0
Graham	4955567.0
Graham	6222790.0
Graham	8168018.0
Graham	6228457.0
Granville	33213815.0
Granville	26759119.0
Granville	29747178.0
Granville	35171752.0
Granville	32827548.0
Granville	32265924.0
Granville	36226823.0
Granville	32300612.0
Granville	28803532.0
Granville	30115897.0
Granville	33454679.0
Granville	32355318.0
Granville	31752908.0
Granville	32950164.0
Granville	33573746.0
Greene	6844698.0
Greene	7257561.0
Greene	8082029.0
Greene	6237882.0
Greene	6983573.0
Greene	6063937.0
Greene	6292606.0
Greene	6598105.0
Greene	5579323.0
Greene	7854785.0
Greene	5830364.0
Greene	6198358.0
Greene	6402459.0
Greene	5919826.0
Greene	6187328.0
Guilford	748194612.0
Guilford	641798622.0
Guilford	721753834.0
Guilford	705996535.0
Guilford	686506423.0
Guilford	690330883.0
Guilford	677301809.0
Guilford	588710276.0
Guilford	678552539.0
Guilford	612260542.0
Guilford	665877325.0
Guilford	662791586.0
Guilford	689778771.0
Guilford	679214955.0
Guilford	690366329.0
Halifax	56438979.0
Halifax	46563122.0
Halifax	47464187.0
Halifax	45534498.0
Halifax	44343776.0
Halifax	66136916.0
Halifax	54592564.0
Halifax	46812033.0
Halifax	43319399.0
Halifax	46651966.0
Halifax	44313970.0
Halifax	38381221.0
Halifax	41773877.0
Halifax	45252577.0
Halifax	44858046.0
Harnett	79241694.0
Harnett	83703297.0
Harnett	82444473.0
Harnett	69935055.0
Harnett	85689466.0
Harnett	88574197.0
Harnett	85646233.0
Harnett	75577473.0
Harnett	87245447.0
Harnett	86050063.0
Harnett	81256068.0
Harnett	83477248.0
Harnett	84012244.0
Harnett	86939518.0
Harnett	74818176.0
Haywood	71151783.0
Haywood	66761187.0
Haywood	73522900.0
Haywood	68020087.0
Haywood	70321641.0
Haywood	62694642.0
Haywood	72550354.0
Haywood	75957964.0
Haywood	69345644.0
Haywood	52316217.0
Haywood	74175526.0
Haywood	66671120.0
Haywood	55168597.0
Haywood	67720842.0
Haywood	65517695.0
Henderson	124711129.0
Henderson	119067184.0
Henderson	114778725.0
Henderson	95428724.0
Henderson	122603131.0
Henderson	91642702.0
Henderson	117034534.0
Henderson	120947580.0
Henderson	97003436.0
Henderson	114864931.0
Henderson	123828614.0
Henderson	120106082.0
Henderson	118080073.0
Henderson	123242679.0
Henderson	114962349.0
Hertford	20349068.0
Hertford	19339784.0
Hertford	17687309.0
Hertford	18386839.0
Hertford	17636002.0
Hertford	17316628.0
Hertford	19212300.0
Hertford	19783156.0
Hertford	19025797.0
Hertford	20174270.0
Hertford	20432891.0
Hertford	20419999.0
Hertford	20973877.0
Hertford	19437788.0
Hertford	20337180.0
Hoke	19533969.0
Hoke	18842651.0
Hoke	18762360.0
Hoke	17423866.0
Hoke	16881403.0
Hoke	19015364.0
Hoke	20286678.0
Hoke	17982244.0
Hoke	18415798.0
Hoke	18672415.0
Hoke	16922802.0
Hoke	18294860.0
Hoke	19008521.0
Hoke	18054927.0
Hoke	20936667.0
Hyde	12138047.0
Hyde	1980890.0
Hyde	4417520.0
Hyde	5693934.0
Hyde	9551034.0
Hyde	2974157.0
Hyde	2227329.0
Hyde	3219555.0
Hyde	3071988.0
Hyde	3274856.0
Hyde	8646061.0
Hyde	5127180.0
Hyde	4844447.0
