GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37043	Clay, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	14	22	6	26	43	44	44	12	35	51	18	13	1	23	30	32
 37045	Cleveland, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7202	9349	3569	3689	3590	3494	2694	2391	4953	6750	7091	7834	7039	6985	5943	3093	3003	3343
 37047	Columbus, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	14843	15355	14610	(D)	(D)	18000	(D)	15008	12642	13826	12800	15571
 37049	Craven, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4869	5117	5123	4747	5301	7238	7865	9831	9214	8005	9239	10970	11793	12328	14408	14973	14863	(D)
 37051	Cumberland, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	13893	15226	17895	25103	23896	19956	18536	33843	26233	23944	27570	27127	27322	25666	27039	29358	37846	30213
 37053	Currituck, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	(D)	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2297	(D)
 37055	Dare, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37057	Davidson, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	75655	73333	73309	70763	72100	66700	63627	52410	39765	96115	95014	101626	106498	120604	132393	154061	169274	178828
 37059	Davie, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1355	(D)	(D)	1796	(D)	(D)	(D)	(D)	(D)	(D)	2982
 37061	Duplin, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37063	Durham, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	230168	238836	257231	266993	206284	252786	201061	233248	257930	267816	325751	283057	209769	228079	232340	210055	233937	242622
 37065	Edgecombe, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7170	6125	9811	8900	12602	20679	20438	67222	62237	62007	63538	101339	35864	34808	39089	34636	27994	26353
 37067	Forsyth, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	154928	225845	260600	368782	329636	372922	371124	402006	373607	436944	484727	799855	841175	901084	1031549	926451	1035304	846186
 37069	Franklin, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	-2	-2	4	0	(D)	7	7	0	0	0	0	(D)	(D)	(D)	(D)	-306	-233	-231
 37071	Gaston, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	14447	9987	17315	16901	19478	25386	28436	32851	37463	32796	45526	35834	38400	35192	33517	43662	43047	48968
 37073	Gates, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	0	0	0	0
 37075	Graham, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	(D)	(D)	(D)	(D)	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37077	Granville, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	1703	2042	3044	3889	3560	2941	2547	1165	1177	802	842	(D)	1780	(D)	2850
 37079	Greene, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1743	1535	1005	1114	856	983	865	737	1546	1778	1607	1732	1942	2133	2422	2668	3175	3498
 37081	Guilford, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	482667	456982	461300	478029	496370	577603	581643	677858	637991	555087	616064	727764	711834	795800	830560	748875	743563	747541
 37083	Halifax, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	2969	2947	3244	3043	3043	3134	3281	4399	4370	4378	4241	4495	4712	4580	3906	4299	4813	5296
 37085	Harnett, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	5744	7930	9547	9288	7964	8707	10006	10498	10768	10540	10985	11968	12061	12277	14832	15794	15679	16546
 37087	Haywood, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4465	3840	4712	5342	5124	5775	4155	3127	3014	2995	4138	5082	6189	5207	3238	3509	4142	5234
 37089	Henderson, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	5021	6538	9846	10017	7346	8443	13152	14966	13623	14205	22001	30928	24065	18327	22769	18416	19691	20481
 37091	Hertford, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	2376	1199	1838	(D)	(D)	(D)	(D)	(D)	788	(D)	(D)	(D)	(D)	(D)	(D)	382	446	472
 37093	Hoke, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	21	41	6	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37095	Hyde, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37097	Iredell, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	182842	184095	199045	223468	290877	245483	252375	301925	326703	388987	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
