GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37087	Haywood, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1497	(D)	2014	(D)	2571	2725	3085	2709	3429	3636	2887	3533	3385	3862	3668	3549	3903	4032
 37089	Henderson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	8255	9518	8612	10408	9305	11221	15261	15264	15032	15177	14379	15227	15254	18402	19287	21856	18772	19467
 37091	Hertford, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37093	Hoke, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	668	605	974	1490	2687	5771	3272	3913	4461	3219	(D)	(D)	3195	3518	2239
 37095	Hyde, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	261	296	316	325	284	227	(D)	(D)	(D)	305	483	548	546	439	(D)	(D)	(D)	(D)
 37097	Iredell, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	6725	8430	17264	20443	21692	24501	24008	26028	30362	31087	26683	27068	25714	32453	33491	37306	40840	42668
 37099	Jackson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1673	2002	909	1068	1095	1274	1744	2189	2506	3088	3700	4023	3834	4525	4839	4542	4077	4284
 37101	Johnston, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1872	2266	2874	2590	2978	3799	6845	6811	6149	6091	4867	5497	5736	7154	7824	8783	10110	12511
 37103	Jones, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	292	290	276	206	136	193	142	99	77	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37105	Lee, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	2689	3193	3591	3939	4122	5853	6421	6958	6564	6015	6509	6727	6422	6890	7387	7542	7965	6927
 37107	Lenoir, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	3797	4956	4818	5025	4762	5725	5696	6615	7450	7657	6998	7406	7599	7619	7713	9171	13504	13870
 37109	Lincoln, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	903	1540	1785	2065	2002	(D)	(D)	2112	1959	1938	(D)	1818	(D)	2549	3954	5244	5811	6592
 37111	McDowell, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2791	2799	2615	2673	2753	(D)	2841	1761	2310
 37113	Macon, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1267	1661	1750	1892	1957	(D)	(D)	(D)	2726	2549	2106	2103	1979	2257	2458	2789	2884	4128
 37115	Madison, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37117	Martin, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	825	1377	(D)	(D)	260	163	160	185	(D)	(D)	(D)
 37119	Mecklenburg, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	191445	211881	230422	264878	294581	336844	366373	389622	425544	450977	459316	512440	474769	554180	577134	586958	564532	556482
