GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Accommodation and food services	2001	36892
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Other services (except government and government enterprises)	2001	30075
37013	FIPS_37013	Beaufort County	Northeast	Region Q	Government and government enterprises	2001	134372
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2001	50926
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2001	0
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Utilities	2001	118
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Construction	2001	7302
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Manufacturing	2001	374100
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Wholesale trade	2001	12452
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Retail trade	2001	13945
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Transportation and warehousing	2001	
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Information	2001	671
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Real estate and rental and leasing	2001	38561
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Professional and business services	2001	16162
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Management of companies and enterprises	2001	9279
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Administrative and support and waste management and remediation services	2001	3085
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Educational services	2001	
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Health care and social assistance	2001	
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Arts, entertainment, and recreation	2001	767
37015	FIPS_37015	Bertie County	Northeast	Region Q	   Accommodation and food services	2001	2484
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Other services (except government and government enterprises)	2001	10753
37015	FIPS_37015	Bertie County	Northeast	Region Q	Government and government enterprises	2001	53196
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Agriculture, forestry, fishing and hunting	2001	86617
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Mining, quarrying, and oil and gas extraction	2001	0
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Utilities	2001	2025
