,Region Code	Region Name	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
37021	Buncombe County, NC	145.056	148.0	148.8	150.5	152.4	153.4	153.8	155.8	158.2	159.9	160.934	161.941	163.693	163.81	165.347	167.134	168.425	169.576	171.015	173.134	175.204	178.409	181.71	185.738	189.316	192.997	196.17	198.814	201.675	204.34	207.109	208.522	210.78	213.325	215.864	218.642	222.88	226.638	229.156	231.226	238.738	241.172	243.655	246.807	249.084	251.954	254.955	257.071	259.259	261.191
37023	Burke County, NC	60.364	62.7	64.6	66.8	67.8	68.4	68.9	69.2	70.0	71.3	72.504	72.876	73.583	73.189	73.766	74.448	74.588	74.693	75.346	75.586	76.046	76.995	78.455	79.852	81.587	83.235	84.382	86.012	87.35	88.496	89.358	89.377	89.074	88.99	88.687	88.619	88.786	88.912	89.351	89.54	90.58	90.542	89.974	89.354	89.296	89.341	89.451	90.157	90.405	90.485
37025	Cabarrus County, NC	74.629	76.6	77.6	78.5	79.5	80.0	80.1	81.3	82.3	84.2	85.895	87.672	89.158	90.052	91.302	92.23	93.099	94.427	95.852	97.38	99.59	101.944	104.351	106.023	108.41	111.484	114.989	118.515	123.005	127.826	132.206	136.166	139.428	142.551	145.003	148.73	155.189	162.759	168.514	172.17	178.562	181.175	184.34	187.24	191.68	196.396	201.639	206.988	211.597	216.453
37027	Caldwell County, NC	56.699	57.9	59.3	61.0	62.3	63.0	63.6	64.3	65.4	66.4	67.746	67.994	68.057	67.6	68.656	69.94	69.736	70.094	70.818	70.784	70.846	71.267	71.743	72.472	72.953	73.822	74.599	75.525	75.995	76.663	77.641	78.173	78.542	78.649	78.387	78.76	79.044	79.346	79.874	79.748	83.022	82.451	82.081	82.048	81.667	81.518	81.766	81.933	82.026	82.178
37029	Camden County, NC	5.453	5.5	5.6	5.8	5.7	5.8	5.6	5.6	5.7	5.8	5.829	5.682	5.675	5.714	5.704	5.597	5.572	5.643	5.705	5.803	5.937	6.025	6.146	6.193	6.346	6.366	6.482	6.662	6.764	6.801	6.92	7.077	7.372	7.83	8.326	8.872	9.175	9.403	9.613	9.69	10.009	10.024	10.003	10.116	10.278	10.282	10.397	10.532	10.676	10.867
37031	Carteret County, NC	31.603	33.0	33.8	35.2	36.2	37.4	38.7	39.6	40.4	41.0	41.092	42.447	43.762	45.496	47.089	48.32	49.663	50.603	51.168	51.591	52.687	53.368	54.434	55.258	55.794	57.035	57.983	58.874	59.224	59.341	59.36	59.649	60.054	60.684	61.607	62.168	63.164	63.213	63.462	64.211	66.7	67.418	67.77	68.388	68.629	68.712	68.808	68.921	69.438	69.473
37033	Caswell County, NC	19.055	19.4	19.6	20.1	20.2	20.4	20.5	20.4	20.4	20.4	20.705	20.855	21.416	21.401	21.567	21.577	21.475	21.294	21.071	20.919	20.671	20.841	20.864	21.172	21.436	21.79	21.969	22.778	23.002	23.255	23.513	23.5	23.561	23.526	23.39	23.314	23.377	23.224	23.143	22.884	23.75	23.456	23.042	23.093	22.807	22.813	22.755	22.616	22.634	22.604
37035	Catawba County, NC	90.873	93.4	95.4	97.4	98.7	99.1	99.2	100.5	101.8	103.3	105.208	106.575	107.754	109.006	110.421	112.094	113.193	114.652	116.245	117.332	118.945	120.669	122.338	124.28	126.504	129.003	131.957	134.311	137.024	139.522	142.529	145.415	146.292	146.94	148.741	150.727	153.05	155.705	157.665	158.953	154.73	154.459	154.693	154.965	155.085	155.527	156.448	157.852	158.687	159.551
37037	Chatham County, NC	29.554	30.4	30.4	30.5	30.6	31.1	31.6	32.0	32.7	33.4	33.415	33.983	34.43	34.688	35.33	35.811	36.592	36.992	37.587	38.254	39.216	40.107	41.014	41.873	42.766	43.886	45.166	46.339	47.291	48.398	49.815	51.712	54.245	55.612	56.945	57.903	59.85	61.481	63.441	64.649	63.845	64.109	64.527	65.243	66.669	68.263	69.642	71.189	73.127	74.47
37039	Cherokee County, NC	16.33	16.7	16.9	16.9	17.1	17.7	18.3	18.4	18.5	18.6	18.933	19.158	19.302	19.314	19.529	19.675	19.665	20.033	20.255	20.181	20.226	20.377	20.531	20.899	21.485	21.98	22.327	22.851	23.427	23.956	24.319	24.48	24.621	24.849	25.148	25.439	26.099	26.46	26.542	26.274	27.435	27.18	27.034	27.125	27.078	27.102	27.809	27.954	28.369	28.612
37041	Chowan County, NC	10.764	10.9	11.0	11.0	11.1	11.4	11.8	12.1	12.6	12.6	12.558	12.564	12.585	12.684	12.899	13.056	13.23	13.406	13.505	13.462	13.54	13.66	13.807	13.894	14.011	14.09	14.324	14.391	14.436	14.558	14.444	14.483	14.573	14.562	14.623	14.694	14.923	15.07	14.982	15.095	14.738	14.807	14.695	14.668	14.502	14.248	14.201	14.029	14.065	13.943
37043	Clay County, NC	5.18	5.3	5.3	5.5	5.5	5.8	5.8	5.9	6.2	6.5	6.619	6.789	6.878	6.923	7.025	7.005	7.168	7.173	7.189	7.134	7.167	7.251	7.292	7.47	7.699	7.889	8.022	8.267	8.499	8.649	8.798	9.038	9.202	9.333	9.46	9.68	9.923	10.149	10.264	10.289	10.608	10.686	10.654	10.597	10.566	10.623	10.749	11.004	11.124	11.231
37045	Cleveland County, NC	72.556	74.7	76.3	77.6	79.0	80.3	80.9	81.2	81.8	82.3	83.435	83.376	83.144	82.675	83.289	84.172	83.658	83.583	83.91	84.43	85.221	86.159	87.395	88.37	89.21	90.738	92.037	93.017	94.224	95.293	96.421	97.072	97.414	97.684	97.643	97.409	97.632	98.295	99.038	99.192	97.917	97.442	97.317	96.873	97.009	96.85	96.96	97.134	97.519	97.947
37047	Columbus County, NC	46.937	48.0	48.5	49.3	49.5	49.9	50.7	50.8	51.0	50.9	51.037	51.226	50.859	50.733	50.78	50.675	50.463	50.724	50.205	50.144	49.559	49.927	50.518	51.172	51.691	52.177	52.905	53.587	54.121	54.522	54.724	54.538	54.462	54.187	54.044	53.8	53.998	54.036	54.289	55.457	57.992	57.705	57.534	57.08	56.883	56.675	56.292	56.047	55.819	55.508
37049	Craven County, NC	62.554	64.5	65.7	68.2	67.6	69.5	71.6	71.4	71.6	70.9	71.043	72.236	73.774	74.848	76.998	79.439	79.809	79.589	80.758	81.098	82.131	83.304	84.429	84.211	84.458	85.998	87.618	89.128	90.041	90.843	91.795	93.185	92.386	92.513	92.935	93.974	95.358	95.508	96.337	98.065	104.171	104.831	105.319	104.285	104.055	102.853	102.632	102.492	102.338	102.139
37051	Cumberland County, NC	212.042	214.3	215.3	221.3	233.2	233.8	238.9	243.2	246.4	244.2	247.16	250.088	251.394	255.05	259.011	261.674	262.034	265.418	264.423	272.114	275.834	279.663	280.941	289.477	291.262	294.091	295.446	299.348	299.506	301.608	303.65	303.476	304.229	301.5	304.671	298.774	301.464	302.333	304.481	308.311	327.197	330.503	329.985	332.997	332.364	331.203	333.167	330.994	333.43	335.509
37053	Currituck County, NC	6.976	7.2	8.0	8.8	9.6	10.0	10.2	10.2	10.7	11.3	11.089	11.19	11.537	12.3	12.631	12.545	12.922	13.122	13.326	13.619	13.799	14.176	14.583	15.086	15.654	16.047	16.487	16.942	17.471	17.856	18.295	18.75	19.45	20.502	21.763	22.813	23.419	23.825	24.1	24.16	23.674	23.906	24.025	24.253	24.82	25.106	25.64	26.29	27.016	27.763
37055	Dare County, NC	6.995	7.6	7.7	8.4	9.3	9.8	10.4	11.1	11.9	12.7	13.377	14.066	14.593	15.12	15.981	17.027	18.385	19.58	20.956	22.143	22.929	23.092	23.567	24.197	24.963	25.909	26.67	27.721	28.606	29.366	30.177	30.898	32.021	32.871	33.417	33.626	33.829	33.993	34.076	34.261	33.982	34.156	34.383	34.81	34.894	35.468	35.829	36.199	36.607	37.009
37057	Davidson County, NC	95.627	98.5	100.9	102.4	102.9	103.9	105.1	107.0	109.1	111.2	113.162	114.797	116.026	116.905	118.708	120.053	121.144	123.78	124.49	125.779	127.175	128.823	130.427	133.028	134.381	136.679	139.249	141.709	144.023	146.106	147.657	149.21	150.444	151.526	152.42	153.193	154.517	156.099	158.094	158.631	162.84	162.923	163.04	163.295	163.383	163.486	164.27	165.18	166.358	167.609
37059	Davie County, NC	18.855	19.4	19.8	20.5	21.2	21.8	22.3	23.1	23.8	24.3	24.599	25.091	25.316	25.64	25.733	26.345	26.776	27.131	27.446	27.545	28.032	28.399	28.671	29.23	30.054	30.366	31.174	32.235	33.274	34.132	35.054	35.959	36.539	36.997	37.714	38.753	39.786	40.581	41.132	41.479	41.254	41.335	41.281	41.435	41.259	41.648	41.921	42.308	42.563	42.846
37061	Duplin County, NC	38.015	38.2	39.0	39.4	39.4	40.1	40.3	40.6	40.7	40.6	40.952	40.626	40.638	40.526	40.744	40.541	40.335	40.231	39.989	40.226	40.116	40.678	41.651	42.737	43.711	44.793	45.798	46.668	47.549	48.401	49.157	49.776	50.301	50.624	50.989	51.214	51.934	52.325	52.988	53.098	58.666	59.216	59.449	59.328	59.432	58.883	59.275	58.943	58.991	58.741
37063	Durham County, NC	132.681	134.5	137.7	141.2	142.3	143.1	145.1	148.0	149.1	151.3	152.236	154.775	156.3	158.22	160.92	163.959	168.498	172.475	175.153	178.875	183.145	187.554	191.784	196.046	199.274	202.872	206.91	211.756	215.995	219.811	224.633	229.527	234.492	236.91	240.04	243.789	249.314	255.765	263.013	269.628	271.357	276.563	282.659	288.723	295.137	300.793	307.826	312.153	316.979	321.488
37065	Edgecombe County, NC	52.341	52.1	52.7	52.9	53.2	54.0	54.7	55.2	55.6	56.2	55.988	56.314	56.74	56.905	56.966	57.697	58.191	58.457	58.77	57.4	56.608	56.575	56.607	56.572	56.612	57.001	57.039	56.885	56.41	56.291	55.333	55.136	54.675	54.288	53.836	53.484	53.015	52.376	52.416	51.829	56.619	56.05	55.675	55.422	54.866	53.743	53.283	52.756	51.984	51.472
37067	Forsyth County, NC	215.118	219.9	224.2	226.2	227.8	229.4	231.7	234.2	238.2	241.9	243.704	246.931	249.154	251.265	253.543	257.028	258.482	262.111	263.655	264.921	266.855	270.397	273.771	278.705	284.496	288.923	293.811	297.835	301.159	303.63	307.205	312.36	316.981	320.629	325.193	331.499	339.812	347.685	354.698	358.781	351.374	354.524	357.598	360.594	364.439	367.365	371.26	375.84	379.216	382.295
37069	Franklin County, NC	26.82	27.7	28.0	28.2	28.4	28.7	28.6	28.9	29.1	29.7	30.055	30.392	30.769	31.212	31.754	32.708	34.064	35.032	35.36	35.999	36.571	37.44	38.18	39.351	40.457	41.804	43.139	44.083	45.151	46.293	47.628	48.828	50.676	52.022	53.181	54.312	55.522	57.295	59.108	60.184	60.835	60.946	61.405	62.074	62.691	63.668	64.676	66.155	67.625	69.685
37071	Gaston County, NC	148.415	150.8	153.8	156.1	156.7	156.9	156.3	157.0	158.2	159.9	162.568	164.656	166.369	166.973	169.045	171.767	171.5	172.394	173.9	174.803	175.132	177.35	178.654	179.94	181.237	182.916	184.428	186.072	187.284	189.127	190.791	191.785	192.539	192.354	192.605	194.649	197.644	202.104	206.534	208.282	206.114	206.886	207.903	209.212	210.545	212.919	216.622	219.656	222.63	224.529
37073	Gates County, NC	8.524	8.5	8.5	8.4	8.4	8.7	8.5	8.5	8.4	8.6	8.875	8.838	8.936	8.865	8.985	9.116	9.222	9.269	9.333	9.326	9.337	9.364	9.524	9.696	9.832	9.957	10.086	10.199	10.436	10.479	10.498	10.504	10.54	10.68	10.713	11.083	11.444	11.739	11.75	11.751	12.165	12.043	11.89	11.703	11.633	11.531	11.569	11.514	11.563	11.562
37075	Graham County, NC	6.562	6.5	6.3	6.4	6.5	6.7	6.7	6.9	6.9	7.1	7.217	7.166	7.189	7.178	7.279	7.271	7.269	7.252	7.168	7.258	7.191	7.426	7.493	7.505	7.661	7.71	7.779	7.84	7.837	7.929	7.965	7.935	7.991	7.919	7.978	7.918	7.961	7.895	7.956	7.874	8.867	8.811	8.707	8.719	8.621	8.588	8.531	8.524	8.461	8.441
37077	Granville County, NC	32.762	33.4	33.4	33.6	33.7	33.6	33.5	33.7	33.8	33.8	34.043	34.402	34.79	35.273	35.681	35.973	36.871	37.38	38.051	38.312	38.465	38.901	39.771	40.688	41.191	42.281	43.281	44.277	46.386	47.498	48.857	50.123	51.758	52.497	52.781	53.445	54.325	56.413	57.277	58.028	57.673	57.503	57.557	57.762	57.995	58.162	58.684	59.372	59.979	60.443
37079	Greene County, NC	14.967	15.4	15.1	14.9	15.0	14.9	15.0	15.0	16.0	15.6	16.117	15.954	15.855	16.116	16.026	15.944	15.849	15.672	15.493	15.375	15.44	15.679	15.782	16.149	16.637	17.26	17.742	18.166	18.598	18.687	18.981	19.133	19.328	19.585	19.785	19.719	20.227	20.593	20.58	20.544	21.258	21.514	21.191	21.011	21.012	20.95	21.078	20.963	21.106	21.069
37081	Guilford County, NC	288.645	294.6	298.9	300.6	300.7	302.0	305.4	310.1	312.5	314.9	317.154	320.029	322.602	324.773	327.27	329.656	332.688	336.905	340.908	344.523	349.135	356.433	362.884	370.568	378.575	387.665	394.358	401.113	409.44	416.459	422.3	427.77	430.901	434.532	438.024	444.873	454.767	463.987	472.863	478.841	489.618	494.953	500.514	506.4	512.233	517.053	524.265	528.243	532.607	537.174
37083	Halifax County, NC	54.354	54.1	54.6	55.0	54.9	55.2	55.2	55.7	55.7	55.5	55.076	55.085	55.141	55.133	55.144	55.104	54.949	55.279	55.298	55.357	55.671	56.012	56.478	57.394	57.894	58.187	58.019	57.895	57.851	57.44	57.315	56.752	56.428	56.167	55.797	55.585	55.356	55.269	55.193	54.633	54.47	54.114	53.732	53.187	52.833	52.182	51.815	51.311	50.634	50.01
37085	Harnett County, NC	49.667	50.7	52.8	53.6	55.1	55.7	56.1	57.6	58.5	59.3	59.57	60.551	61.176	61.713	62.277	63.537	64.516	65.74	66.921	67.579	68.03	69.189	71.373	73.671	75.59	78.353	81.651	84.169	86.513	89.127	91.494	93.572	96.432	97.819	99.874	102.353	104.995	108.16	111.6	115.213	115.753	119.178	122.204	125.028	126.685	128.034	130.674	132.395	134.336	135.976
37087	Haywood County, NC	41.71	42.5	43.3	43.4	43.8	44.5	44.9	44.9	45.7	46.2	46.495	46.742	46.894	46.649	47.125	47.331	47.747	47.194	47.267	47.11	47.003	47.631	48.51	49.295	49.723	50.513	51.397	52.343	52.996	53.602	54.095	54.543	54.906	55.362	55.813	55.863	56.229	56.707	56.915	57.034	58.932	58.726	58.64	58.962	59.132	59.646	60.405	61.005	61.89	62.317
37089	Henderson County, NC	42.804	44.6	45.4	47.4	48.6	50.5	51.8	53.6	55.2	57.0	58.58	60.192	61.579	62.553	64.016	65.084	65.758	66.408	67.535	68.357	70.268	71.902	73.596	75.711	78.004	80.03	81.75	84.088	86.016	87.825	89.633	90.92	92.264	93.577	94.864	96.376	98.725	100.712	102.541	103.764	106.891	107.37	107.768	108.879	110.258	111.847	113.583	115.216	116.5	117.417
37091	Hertford County, NC	24.439	23.2	23.2	23.4	22.8	23.1	23.0	23.1	23.2	23.4	23.368	23.3	23.27	23.422	23.329	23.375	23.386	23.046	22.802	22.581	22.355	22.393	22.457	22.69	22.637	22.693	22.651	22.673	22.578	22.579	22.574	22.633	23.145	22.882	22.845	22.782	22.711	22.765	22.835	22.851	24.764	24.718	24.6	24.575	24.582	24.373	24.209	23.923	23.878	23.677
37093	Hoke County, NC	16.436	17.0	17.5	17.5	17.7	19.1	18.8	19.2	18.8	19.6	20.383	20.789	21.077	21.186	21.443	21.612	22.046	22.583	22.519	22.775	22.95	23.293	24.235	25.44	27.429	28.452	29.424	30.314	31.58	32.833	33.924	34.681	35.72	36.423	37.916	39.508	40.973	42.029	43.407	44.766	47.496	49.468	50.483	51.155	51.586	52.739	52.981	54.138	54.695	55.234
37095	Hyde County, NC	5.571	5.7	5.6	5.6	5.5	5.7	5.9	6.0	5.9	6.0	5.873	5.922	5.879	5.865	5.861	5.834	5.756	5.625	5.503	5.49	5.406	5.38	5.425	5.381	5.346	5.365	5.409	5.484	5.915	5.914	5.813	5.649	5.693	5.535	5.433	5.391	5.225	5.189	5.263	5.22	5.811	5.798	5.689	5.654	5.6	5.426	5.434	5.24	5.026	4.937
37097	Iredell County, NC	72.197	73.9	76.1	76.9	78.0	78.4	77.9	79.0	80.4	81.8	82.538	83.819	84.487	84.787	86.309	87.1	87.931	89.348	90.862	91.787	93.711	95.901	97.517	99.474	101.802	104.653	107.743	111.061	115.686	120.031	123.583	127.108	130.285	132.962	136.265	140.143	146.365	151.472	155.725	157.931	159.778	161.037	162.67	164.582	166.498	169.453	172.466	175.634	178.332	181.806
37099	Jackson County, NC	21.593	22.4	23.3	23.9	24.4	24.3	24.6	25.0	24.6	25.1	25.811	26.239	26.4	26.558	26.742	26.702	26.273	26.512	26.606	26.794	26.926	27.464	28.026	28.407	29.373	30.148	30.797	31.301	31.851	32.42	33.236	33.58	34.031	34.877	35.428	35.662	36.409	36.441	36.756	37.304	40.368	40.24	40.636	41.001	40.92	41.305	42.622	43.224	43.6	43.938
37101	Johnston County, NC	61.737	62.8	64.2	64.4	65.3	66.8	67.6	68.2	69.4	70.2	70.599	71.441	72.058	72.559	74.092	75.858	77.029	77.911	78.926	80.004	81.925	84.521	87.353	90.285	93.384	97.914	102.352	106.905	112.394	117.765	123.327	127.673	132.444	136.105	140.648	145.137	150.604	156.877	163.232	168.256	169.678	172.446	174.383	177.227	180.71	185.104	190.843	196.374	202.692	209.339
37103	Jones County, NC	9.779	9.9	10.0	9.8	9.6	9.8	9.8	9.7	9.8	9.6	9.705	9.688	9.712	9.76	9.338	9.384	9.384	9.32	9.349	9.376	9.392	9.479	9.623	9.902	10.059	10.104	10.065	10.193	10.224	10.35	10.27	10.182	10.066	9.898	10.045	9.958	9.884	9.918	9.846	10.004	10.143	10.06	10.071	10.007	9.851	9.777	9.588	9.573	9.613	9.419
37105	Lee County, NC	30.467	31.2	32.2	32.7	33.2	33.6	33.9	34.8	35.6	35.8	36.718	36.999	37.405	37.862	38.627	39.719	40.133	39.97	40.446	40.882	41.548	42.065	42.823	43.806	44.595	45.698	46.711	47.611	48.559	48.766	49.423	51.196	51.723	52.886	54.417	55.434	56.696	57.834	59.19	60.359	57.877	58.531	59.24	59.762	59.401	59.371	59.646	60.403	61.208	61.779
37107	Lenoir County, NC	55.204	56.6	57.7	58.1	58.5	58.5	59.2	59.4	59.2	59.3	59.819	59.787	59.428	59.537	59.368	58.856	58.212	58.124	57.602	57.303	57.376	57.718	58.164	58.716	59.084	59.666	59.786	59.846	59.838	59.863	59.512	59.053	58.617	58.153	57.738	57.513	57.181	56.783	56.82	56.557	59.488	59.411	59.114	58.732	58.255	57.981	57.24	56.622	55.99	55.949
37109	Lincoln County, NC	32.682	33.9	35.3	36.7	37.3	37.9	38.3	39.0	40.2	41.1	42.372	42.894	43.361	43.629	44.533	45.601	46.06	47.106	48.521	49.189	50.79	51.947	53.504	55.356	56.921	57.757	58.909	60.343	61.674	62.955	64.133	65.182	66.076	66.95	67.584	69.014	71.079	72.877	74.715	75.973	78.134	78.297	78.729	79.111	79.446	80.607	81.229	82.557	84.092	86.111
37113	Macon County, NC	15.788	16.4	17.0	17.2	17.6	18.1	18.3	19.0	19.5	20.2	20.178	21.117	21.677	22.049	22.529	22.756	22.642	22.721	22.853	23.218	23.623	23.986	24.441	24.985	25.459	26.307	27.208	27.963	28.554	29.252	29.961	30.361	30.751	31.057	31.398	31.71	32.313	32.701	33.097	33.257	33.959	33.887	33.806	33.738	33.824	34.09	34.262	34.581	35.274	35.858
37115	Madison County, NC	16.003	16.1	15.9	16.0	16.2	16.5	16.5	16.5	16.6	16.5	16.827	17.113	16.919	16.81	17.018	17.037	17.12	17.051	16.924	16.879	17.027	17.218	17.424	17.476	17.835	18.199	18.604	18.807	19.222	19.392	19.661	19.799	19.814	19.762	19.841	19.921	20.056	20.189	20.322	20.417	20.777	20.845	20.882	21.147	21.187	21.146	21.367	21.563	21.665	21.755
37117	Martin County, NC	24.73	24.6	24.7	24.9	25.0	25.3	25.5	25.8	25.9	25.9	25.948	26.187	26.089	26.088	26.09	25.858	25.694	25.693	25.542	25.302	25.049	25.143	25.126	25.567	26.073	26.017	25.988	25.981	25.752	25.623	25.494	25.12	24.881	24.678	24.402	24.026	23.969	23.598	23.488	23.368	24.506	24.186	23.845	23.637	23.435	23.262	23.122	22.763	22.66	22.44
37111	McDowell County, NC	30.648	30.9	31.5	32.2	32.5	33.2	33.4	33.5	33.9	34.2	35.135	35.675	35.838	35.745	35.899	35.824	35.612	35.618	35.553	35.661	35.77	36.188	36.473	36.982	37.62	38.171	39.384	40.48	41.229	41.874	42.251	42.688	42.712	42.909	42.972	43.136	43.372	43.656	44.032	44.037	45.102	45.053	44.999	45.021	45.007	44.967	44.866	45.083	45.465	45.756
37119	Mecklenburg County, NC	354.656	360.1	368.0	374.0	377.1	377.4	380.3	383.8	388.7	395.7	404.27	413.915	422.435	428.247	438.304	448.881	459.459	473.76	486.215	499.677	515.605	530.897	542.185	558.031	576.276	596.036	617.328	639.479	660.552	682.071	700.802	720.936	737.544	755.396	774.441	800.363	833.428	865.075	891.819	913.311	923.242	943.823	967.063	990.677	1010.229	1033.238	1056.901	1078.128	1093.75	1110.356
37121	Mitchell County, NC	13.447	13.8	13.8	13.9	13.9	14.1	14.3	14.4	14.6	14.4	14.428	14.383	14.316	14.185	14.302	14.395	14.315	14.309	14.431	14.392	14.469	14.564	14.671	14.802	14.865	15.075	15.175	15.235	15.367	15.498	15.688	15.815	15.81	15.781	15.862	15.781	15.613	15.663	15.659	15.589	15.512	15.356	15.33	15.282	15.174	15.071	14.996	14.992	14.996	14.964
37123	Montgomery County, NC	19.267	19.7	19.9	20.1	20.4	20.6	20.7	20.8	21.2	21.7	22.469	22.538	22.495	22.863	23.164	23.169	23.078	23.327	23.135	23.281	23.489	23.477	23.946	24.175	24.379	24.932	25.281	25.482	25.937	26.43	26.899	26.951	26.986	27.205	27.038	27.085	27.241	27.482	27.739	27.708	27.729	27.706	27.522	27.446	27.283	27.438	27.301	27.269	27.077	27.173
37125	Moore County, NC	39.048	40.7	41.7	43.0	43.6	44.7	45.6	46.9	48.1	49.3	50.505	50.905	51.394	52.276	53.331	53.954	54.904	55.985	57.469	58.215	59.347	60.426	62.02	63.717	66.041	67.692	69.188	70.839	72.185	73.799	75.184	76.283	77.547	78.342	79.437	80.751	82.694	84.651	85.966	87.061	88.594	89.262	90.191	91.366	92.816	94.013	95.405	97.368	98.805	100.88
37127	Nash County, NC	59.122	60.2	60.8	62.2	63.2	64.2	64.9	66.2	66.8	67.0	67.153	68.074	68.784	69.573	70.149	71.102	71.639	72.659	73.056	74.958	77.06	78.235	79.292	80.681	82.378	83.507	84.531	85.922	86.493	87.042	87.703	88.169	88.693	89.249	89.908	90.412	91.559	93.125	94.068	94.797	95.786	95.74	95.187	94.421	94.2	93.786	93.953	94.019	94.094	94.298
