"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Livingston County","NY","Rochester","36","051",801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149950,149900,143900,138250,141400,141400,139900,139900,139900,138000,139600,136450,134900,129900,129900,129900,129900,132900,139900,144900,159000,139900,139900,131000,136250,135000,135000,140000,140000,140000,149900,142000,149900,148950,144900,144900,135750,149900,139900,139900,142000,144900,143000,142000,134900,134900,134900,134000,129000,129900,136700,139900,139900,139900,144900,139999,138750,137000,139900,134900,129900,129700,129900,139900,149450,159900,157000,159000,149900,144900,144900,144900,139900,139900,147950,159900,159900,159900,159000,154900,149900
"Saint Francois County","MO","Farmington","29","187",802,128500,124900,119950,119900,119900,120000,119500,118450,119900,124660.5,121000,121000,110000,104950,112900,116950,119999,120000,119900,120000,119000,119900,113250,112000,109900,113500,117250,119900,119900,119900,119900,114900,109900,104900,105000,106000,104950,105000,109000,109900,117000,114900,113500,109900,114900,118000,114900,115000,109900,109900,112000,119900,119900,119900,117250,115000,115000,113700,118700,115900,112500,111000,115000,117500,116000,119000,114900,112850,115000,110000,110000,105000,101947.5,106250,109900,111000,114900,119700,119900,119900,119900,119900,121500,114900,111995,112450,119000,119000,119900,119900,128500,128000,129900,129886,127000,124900,124900,124950,129900,124900,129900,135750,134900,139900,139900,139900,139900,139900,139900,139900,139900,139900,139900,144900,145000,146950,144450
"Carbon County","PA","Allentown-Bethlehem-Easton","42","025",803,179500,175450,175000,169900,164900,169000,164900,164900,165000,164900,164900,162900,162000,164900,164900,164500,165000,164500,161500,159900,155000,154900,149900,149900,149900,149900,148999.5,149900,145000,149900,149500,149900,149900,149250,144900,140450,139900,142000,139900,144900,145100,149600,149900,149000,149900,149850,147900,145000,145000,145500,139900,145000,149900,149900,149900,149900,149000,147900,144999.5,139900,139000,129949.5,139000,140000,149000,149999.5,145900,142500,141000,139900,139900,139900,137500,135000,139900,144000,145000,149000,144900,139900,139900,139000,139900,139000,135000,139900,144000,149900,151900,154900,155000,154900,149999,149900,150000,149900,149900,159900,159900,159900,164900,165747.5,165000,165000,167450,169900,164950,162900,164900,164500,165250,169900,167000,169900,169000,171200,174000
"Fauquier County","VA","Washington-Arlington-Alexandria","51","061",804,359450,359000,339495,339945,349900,349900,349900,349900,349900,339980,335000,339000,339900,345000,349000,349900,350000,349900,372995,359000,369900,364990,359450,350000,349999.5,349950,369000,379900,383812.5,389000,389900,381500,379990,384050,389000,383200,387500,390000,395000,395000,414995,420999.5,425000,420994.5,431950,419000,412500,429990,424945,422445,449900,425000,439900,434900,437950,435000,434990,425000,429000,419900,419900,429000,434900,434949.5,444495,425000,423883.5,419000,417000,419990,424995,425000,419995,422450,427990,435000,435000,439990,449900,448990,449900,449900,448990,449900,449445,447990,468990,466995,459950,458350,464990,468925,463000,457995,455900,466500,469900,474990,459000,465000,465000,475000,475000,479495,479000,459000,459950,468000,460500,460500,475000,465900,469000,481450,485000,485000,484900
"Pike County","KY",,"21","195",805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162450,165000,169000,159450,160000,150000,159000,159000,159900,169900,169900,171900,175000,169900,178250,169500,151000,157000,158000,149999.5,149999,149900,149500,149250,139250,133300,139000,133300,131300,129900,135000,145250,141000,134950,135000,134450,129450,129000,133750,129900,127700,129000,138500,142900,145000,159900,159000,154900,159000
"San Patricio County","TX","Corpus Christi","48","409",806,139500,139900,139900,139900,139900,140000,140000,139000,138500,137950,137500,135000,132500,140000,139900,139900,139000,139700,139900,144950,145000,139000,139000,129900,129900,134900,147000,139900,134850,138500,144000,139900,139000,137000,138750,134982,138000,139000,138900,139900,144000,145000,146000,158400,159500,164900,155000,167200,159900,159900,159900,169900,169900,179900,183500,179900,168750,165000,168000,169000,174200,175000,177900,169999.5,169900,169900,163000,165000,164500,159900,168000,165000,174700,182800,189900,189450,199949.5,199900,189950,189900,189250,185000,180000,179900,184837.5,174500,179900,182650,179900,184900,180000,189800,185000,179900,189000,190000,198800,197225,199450,199999,201990,199999,199900,199900,206500,199990,199990,199900,199900,198000,198250,199900,199900,199000,199900,202990,207127.5
"Athens County","OH","Athens","39","009",807,141000,147000,154950,153500,151000,150500,149500,149500,149000,139950,137250,129900,129900,124900,139500,139900,149500,149500,149900,145000,144950,147000,149250,139000,139500,139500,143900,148000,148000,158000,153950,148900,145000,139250,139000,138000,136000,135000,134900,135500,137900,135000,139900,139900,137500,144900,149500,149450,144900,144900,158000,149900,145900,147900,149650,147900,142400,139900,139000,139900,140000,145000,150000,156000,155500,155000,159900,159000,159000,159250,159950,162000,159000,159000,165000,164900,158500,156500,155000,159000,156500,149900,140000,142900,142900,159900,168000,169900,169900,179250,194000,179700,179000,184000,178250,179000,180950,174900,175000,179000,179950,182000,179900,164937.5,160000,159900,170000,169000,174900,165000,174900,174900,175000,165000,159000,159000,159000
"Lea County","NM","Hobbs","35","025",808,,,,,,,,,,,,,,,,,,,,,,,,,,,167500,179400,177000,168950,166450,159900,170000,169900,167250,179900,185000,194750,186450,195700,196900,197000,186000,179900,180900,175000,189500,190950,185000,181900,192500,195000,195450,184900,179000,179500,181200,175000,168000,167950,176850,169500,180350,186250,185000,170000,172000,176000,179950,175500,184950,177500,173400,175000,185350,175000,176000,174900,176500,175000,170000,175000,183000,175000,179000,169900,170500,175000,180000,182500,183000,180000,178750,180000,180000,176750,180000,169900,169900,175000,179700,185500,179900,180000,179950,179950,189450,189000,190000,192500,192500,192500,190000,190000,176500,185500,175000
"Lake County","CA","Clearlake","06","033",809,199900,198750,189900,187000,184300,185950,180000,175000,174500,169950,169000,159000,148875,144900,144225,145000,150000,149900,155000,161250,159000,139000,135200,129950,130000,129900,134950,129900,135500,136662.5,140000,145000,145000,149900,150000,149900,139975,139900,159000,159000,169000,175400,175800,189000,189000,179999.5,179900,182000,189000,179450,196300,209000,219900,220000,225000,229000,229000,225000,214950,210000,210000,215000,214900,225000,232000,239900,239950,234500,245000,245000,245000,239000,235000,234900,239900,244600,250000,249700,245000,245000,239000,248500,245000,230999.5,238500,235000,245000,259000,260000,265000,265000,265000,265000,269000,269000,277000,280042,281000,289000,289900,289900,308950,299900,299900,299000,289000,289250,295000,285000,279000,279999,292900,297750,295000,289950,289000,288000
"Nacogdoches County","TX","Nacogdoches","48","347",810,,,,,,,,,,,,,157000,167000,174450,169700,167000,172500,168497.5,167000,174000,167500,165480,145000,150000,149950,154900,174950,173900,175000,174950,169000,149900,149900,144900,141250,149900,149950,159900,154450,148000,152800,159250,159900,167000,169450,166950,156950,155000,155950,157900,169000,179999.5,177500,173900,173500,170000,159900,164950,149995,158000,158900,161700,169900,172000,169950,174900,169900,184700,173950,195000,190450,197500,202249.5,195150,175000,189900,196500,198700,196894,194400,199900,201700,203500,199900,199949.5,197250,205000,216750,211000,217200,207000,205000,208500,208250,199900,192410.5,189850,172170,174670,197750,195000,189900,185900,194900,198450,198000,193450,199000,199475,199900,206500,199925,199000,199900,222300,199900
